"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-01","2010","01","01","","-0.8","","-20.1","","-10.5","","28.5","","0.0","","","M","","M","0.0","","31","","35","","43",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-02","2010","01","02","","-17.6","","-21.3","","-19.5","","37.5","","0.0","","","M","","M","0.0","","27","","35","","48",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-03","2010","01","03","","-14.3","","-20.0","","-17.2","","35.2","","0.0","","0.0","","","M","2.2","","33","","34","","54",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-04","2010","01","04","","-10.6","","-15.1","","-12.9","","30.9","","0.0","","","M","","M","1.0","","30","","34","","41",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-05","2010","01","05","","-8.2","","-11.4","","-9.8","","27.8","","0.0","","","M","","M","1.0","","31","","35","","43",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-06","2010","01","06","","-8.6","","-12.0","","-10.3","","28.3","","0.0","","","M","","M","0.0","","32","","33","","35",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-07","2010","01","07","","-8.9","","-12.6","","-10.8","","28.8","","0.0","","","M","","M","0.0","","32","","32","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-08","2010","01","08","","-11.5","","-17.1","","-14.3","","32.3","","0.0","","","M","","M","0.0","","33","","32","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-09","2010","01","09","","-13.2","","-21.1","","-17.2","","35.2","","0.0","","","M","","M","0.0","","33","","33","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-10","2010","01","10","","-0.6","","-13.5","","-7.1","","25.1","","0.0","","","M","","M","0.0","","33","","20","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-11","2010","01","11","","-3.9","","-11.4","","-7.7","","25.7","","0.0","","","M","","M","0.0","","33","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-12","2010","01","12","","-11.1","","-17.6","","-14.4","","32.4","","0.0","","","M","","M","0.0","","35","","35","","35",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-13","2010","01","13","","-2.3","","-11.6","","-7.0","","25.0","","0.0","","","M","","M","0.0","","35","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-14","2010","01","14","","1.4","","-2.9","","-0.8","","18.8","","0.0","","","M","","M","0.0","","34","","18","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-15","2010","01","15","","1.4","","-0.6","","0.4","","17.6","","0.0","","","M","","M","0.0","","34","","20","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-16","2010","01","16","","1.5","","-0.3","","0.6","","17.4","","0.0","","","M","","M","0.0","","34","","20","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-17","2010","01","17","","2.8","","-1.9","","0.5","","17.5","","0.0","","","M","","M","0.0","","32","","15","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-18","2010","01","18","","1.1","","-1.9","","-0.4","","18.4","","0.0","","","M","","M","0.0","","32","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-19","2010","01","19","","0.4","","-11.5","","-5.6","","23.6","","0.0","","","M","","M","0.0","","32","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-20","2010","01","20","","-5.3","","-11.4","","-8.4","","26.4","","0.0","","","M","","M","0.0","","33","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-21","2010","01","21","","-2.5","","-13.9","","-8.2","","26.2","","0.0","","","M","","M","0.0","","32","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-22","2010","01","22","","-3.0","","-17.1","","-10.1","","28.1","","0.0","","","M","","M","0.0","","32","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-23","2010","01","23","","-1.9","","-13.4","","-7.7","","25.7","","0.0","","","M","","M","0.0","","32","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-24","2010","01","24","","0.7","","-7.6","","-3.5","","21.5","","0.0","","","M","","M","1.2","","32","","15","","37",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-25","2010","01","25","","2.9","","0.6","","1.8","","16.2","","0.0","","","M","","M","9.4","","32","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-26","2010","01","26","","1.4","","-11.8","","-5.2","","23.2","","0.0","","0.0","","","M","2.2","","29","","35","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-27","2010","01","27","","-5.1","","-15.2","","-10.2","","28.2","","0.0","","0.0","","","M","1.2","","31","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-28","2010","01","28","","-10.4","","-21.1","","-15.8","","33.8","","0.0","","","M","","M","0.0","","33","","32","","48",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-29","2010","01","29","","-19.7","","-25.8","","-22.8","","40.8","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-30","2010","01","30","","-9.9","","-27.9","","-18.9","","36.9","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-01-31","2010","01","31","","-8.6","","-18.7","","-13.7","","31.7","","0.0","","0.0","","","M","1.2","","35","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-01","2010","02","01","","-8.1","","-19.8","","-14.0","","32.0","","0.0","","","M","","M","0.0","","37","","33","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-02","2010","02","02","","-4.7","","-20.9","","-12.8","","30.8","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-03","2010","02","03","","-4.5","","-16.2","","-10.4","","28.4","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-04","2010","02","04","","-3.8","","-17.6","","-10.7","","28.7","","0.0","","","M","","M","0.0","","37","","35","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-05","2010","02","05","","-6.9","","-17.2","","-12.1","","30.1","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-06","2010","02","06","","-8.3","","-15.9","","-12.1","","30.1","","0.0","","","M","","M","0.0","","37","","34","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-07","2010","02","07","","-9.0","","-16.6","","-12.8","","30.8","","0.0","","","M","","M","0.0","","37","","32","","41",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-08","2010","02","08","","-5.8","","-11.6","","-8.7","","26.7","","0.0","","","M","","M","0.0","","38","","32","","39",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-09","2010","02","09","","-7.2","","-13.1","","-10.2","","28.2","","0.0","","","M","","M","0.0","","38","","32","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-10","2010","02","10","","-5.9","","-13.4","","-9.7","","27.7","","0.0","","","M","","M","0.0","","37","","34","","37",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-11","2010","02","11","","-8.9","","-19.2","","-14.1","","32.1","","0.0","","","M","","M","0.0","","37","","35","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-12","2010","02","12","","-9.4","","-22.5","","-16.0","","34.0","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-13","2010","02","13","","-5.7","","-10.4","","-8.1","","26.1","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-14","2010","02","14","","-6.3","","-10.0","","-8.2","","26.2","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-15","2010","02","15","","-3.4","","-8.0","","-5.7","","23.7","","0.0","","0.0","","","M","1.2","","39","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-16","2010","02","16","","-2.5","","-11.2","","-6.9","","24.9","","0.0","","0.0","","","M","1.0","","41","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-17","2010","02","17","","-1.5","","-4.9","","-3.2","","21.2","","0.0","","0.0","","","M","2.2","","42","","35","","37",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-18","2010","02","18","","-1.5","","-6.1","","-3.8","","21.8","","0.0","","","M","","M","1.0","","42","","36","","41",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-19","2010","02","19","","-0.5","","-5.8","","-3.2","","21.2","","0.0","","","M","","M","0.0","","42","","33","","35",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-20","2010","02","20","","-1.5","","-5.8","","-3.7","","21.7","","0.0","","","M","","M","0.0","","43","","35","","35",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-21","2010","02","21","","-1.2","","-11.6","","-6.4","","24.4","","0.0","","","M","","M","0.0","","42","","32","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-22","2010","02","22","","-2.5","","-14.9","","-8.7","","26.7","","0.0","","0.0","","","M","1.2","","42","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-23","2010","02","23","","0.5","","-3.7","","-1.6","","19.6","","0.0","","0.0","","","M","6.2","","45","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-24","2010","02","24","","-2.1","","-12.8","","-7.5","","25.5","","0.0","","","M","","M","0.0","","50","","36","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-25","2010","02","25","","-8.5","","-15.0","","-11.8","","29.8","","0.0","","0.0","","","M","4.4","","52","","34","","41",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-26","2010","02","26","","3.2","","-9.7","","-3.3","","21.3","","0.0","","0.0","","","M","4.6","","58","","36","","41",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-27","2010","02","27","","3.2","","-0.4","","1.4","","16.6","","0.0","","","M","","M","1.0","","54","","36","","32",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-02-28","2010","02","28","","0.5","","-4.4","","-2.0","","20.0","","0.0","","","M","","M","0.0","","50","","35","","37",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-03-01","2010","03","01","","-3.7","","-7.6","","-5.7","","23.7","","0.0","","","M","","M","0.0","","49","","34","","33",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-03-02","2010","03","02","","1.6","","-10.6","","-4.5","","22.5","","0.0","","","M","","M","0.0","","49","","","","<31",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-03-03","2010","03","03","","3.7","","-12.9","","-4.6","","22.6","","0.0","","","M","","M","0.0","","48","","36","","35",""
"-79.10","46.71","BARRAGE TEMISCAMINGUE","7080468","2010-03-04","2010","03","04","","2.2","","-6.9","","-2.4","","20.4","","0.0","","","M","","M","0.0","","48","","35","","32",""
