slug,station_id,climate_id,name,province,watershed,first_year,last_year,source_url_pattern,consolidated_csv
ottawa-cda,4333,6105976,OTTAWA CDA,ON,"reference (south basin, replicates web session)",1972,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=4333&Year={year}&Month=1&Day=1&timeframe=2,ottawa-cda/daily-1972-2026.csv
maniwaki-ua,5607,7034480,MANIWAKI UA,QC,Gatineau (historical),1972,2018,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=5607&Year={year}&Month=1&Day=1&timeframe=2,maniwaki-ua/daily-1972-2018.csv
maniwaki-airport,5606,7034482,MANIWAKI AIRPORT,QC,Gatineau (recent),1993,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=5606&Year={year}&Month=1&Day=1&timeframe=2,maniwaki-airport/daily-1993-2026.csv
barrage-temiscamingue,5977,7080468,BARRAGE TEMISCAMINGUE,QC,Upper Ottawa main feeder of Lac Coulonge,1972,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=5977&Year={year}&Month=1&Day=1&timeframe=2,barrage-temiscamingue/daily-1972-2026.csv
mont-laurier,5615,7035160,MONT LAURIER,QC,Lievre/Cabonga (Baskatong feed),1972,2025,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=5615&Year={year}&Month=1&Day=1&timeframe=2,mont-laurier/daily-1972-2025.csv
parent,5966,7075800,PARENT,QC,Cabonga headwaters (north),1972,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=5966&Year={year}&Month=1&Day=1&timeframe=2,parent/daily-1972-2026.csv
val-dor-a,6081,7098600,VAL-D'OR A,QC,Upper Ottawa headwaters (high north basin),1972,2025,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=6081&Year={year}&Month=1&Day=1&timeframe=2,val-dor-a/daily-1972-2025.csv
val-dor,30172,7098603,VAL-D'OR,QC,Upper Ottawa (recent overlap),2008,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=30172&Year={year}&Month=1&Day=1&timeframe=2,val-dor/daily-2008-2026.csv
rouyn,10849,7086716,ROUYN,QC,Temiscaming watershed,1994,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=10849&Year={year}&Month=1&Day=1&timeframe=2,rouyn/daily-1994-2026.csv
north-bay-a-old,4201,6085700,NORTH BAY A (legacy),ON,mid-basin wave-passage (historical),1972,2013,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=4201&Year={year}&Month=1&Day=1&timeframe=2,north-bay-a-old/daily-1972-2013.csv
north-bay-a-new,52318,6085680,NORTH BAY A,ON,mid-basin wave-passage (recent),2014,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=52318&Year={year}&Month=1&Day=1&timeframe=2,north-bay-a-new/daily-2014-2026.csv
pembroke-climate,49068,6106367,PEMBROKE CLIMATE,ON,mid-basin south near Lac Coulonge,2010,2026,https://climate.weather.gc.ca/climate_data/bulk_data_e.html?format=csv&stationID=49068&Year={year}&Month=1&Day=1&timeframe=2,pembroke-climate/daily-2010-2026.csv
