"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-01","1994","01","01","","0.2","","-8.0","","-3.9","","21.9","","0.0","","","M","","M","8.0","","","","17","","44",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-02","1994","01","02","","-5.0","","-30.1","","-17.6","","35.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-03","1994","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-04","1994","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-05","1994","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-06","1994","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-07","1994","01","07","","-19.7","","-29.3","","-24.5","","42.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-08","1994","01","08","","-16.8","","-21.8","","-19.3","","37.3","","0.0","","","M","","M","1.0","","","","","","<31",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-09","1994","01","09","","-16.6","","-23.9","","-20.3","","38.3","","0.0","","","M","","M","1.0","","","","33","","32",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-10","1994","01","10","","-17.6","","-29.5","","-23.6","","41.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-11","1994","01","11","","-6.3","","-17.7","","-12.0","","30.0","","0.0","","","M","","M","5.0","","","","34","","32",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-12","1994","01","12","","-11.2","","-25.2","","-18.2","","36.2","","0.0","","","M","","M","1.0","","","","","","<31",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-13","1994","01","13","","-9.0","","-16.7","","-12.9","","30.9","","0.0","","","M","","M","2.0","","","","","","<31",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-14","1994","01","14","","-16.1","","-28.1","","-22.1","","40.1","","0.0","","","M","","M","1.0","","","","33","","32",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-15","1994","01","15","","-27.9","","-33.2","","-30.6","","48.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-75.99","46.27","MANIWAKI AIRPORT","7034482","1994-01-16","1994","01","16","","-23.3","","-35.7","","-29.5","","47.5","","0.0","","","M","","M","0.0","","","","","","<31",""
