"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-01","1981","01","01","","-13.3","","-29.1","","-21.2","","39.2","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-02","1981","01","02","","-14.2","","-33.2","","-23.7","","41.7","","0.0","","0.0","","3.8","","3.4","","36","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-03","1981","01","03","","-27.2","","-40.0","","-33.6","","51.6","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-04","1981","01","04","","-19.6","","-40.7","","-30.2","","48.2","","0.0","","0.0","","0.6","","0.6","","35","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-05","1981","01","05","","-11.0","","-27.7","","-19.4","","37.4","","0.0","","0.0","","0.4","","0.4","","35","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-06","1981","01","06","","-7.3","","-15.3","","-11.3","","29.3","","0.0","","0.0","","5.2","","5.2","","35","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-07","1981","01","07","","-6.8","","-20.7","","-13.8","","31.8","","0.0","","0.0","","4.4","","4.4","","40","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-08","1981","01","08","","-16.0","","-28.4","","-22.2","","40.2","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-09","1981","01","09","","-9.8","","-25.0","","-17.4","","35.4","","0.0","","0.0","","1.8","","1.8","","40","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-10","1981","01","10","","-12.6","","-29.2","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","41","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-11","1981","01","11","","-22.6","","-32.3","","-27.5","","45.5","","0.0","","0.0","","0.4","","0.4","","41","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-12","1981","01","12","","-19.7","","-31.8","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-13","1981","01","13","","-16.3","","-35.2","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-14","1981","01","14","","-15.2","","-31.6","","-23.4","","41.4","","0.0","","0.0","","0.0","T","0.0","T","40","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-15","1981","01","15","","-7.9","","-23.1","","-15.5","","33.5","","0.0","","0.0","","0.2","","0.2","","40","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-16","1981","01","16","","-10.5","","-25.4","","-18.0","","36.0","","0.0","","0.0","","0.0","T","0.0","T","40","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-17","1981","01","17","","-12.3","","-19.9","","-16.1","","34.1","","0.0","","0.0","","0.0","T","0.0","T","40","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-18","1981","01","18","","-2.4","","-16.8","","-9.6","","27.6","","0.0","","0.0","","1.4","","0.8","","39","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-19","1981","01","19","","0.8","","-8.8","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-20","1981","01","20","","-8.7","","-25.5","","-17.1","","35.1","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-21","1981","01","21","","-7.8","","-28.6","","-18.2","","36.2","","0.0","","0.0","","0.5","","0.5","","33","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-22","1981","01","22","","-1.6","","-8.4","","-5.0","","23.0","","0.0","","0.0","","3.6","","1.9","","33","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-23","1981","01","23","","-3.7","","-8.1","","-5.9","","23.9","","0.0","","0.0","","4.4","","1.5","","34","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-24","1981","01","24","","-5.2","","-19.7","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-25","1981","01","25","","-1.1","","-21.8","","-11.5","","29.5","","0.0","","0.2","","0.0","","0.2","","34","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-26","1981","01","26","","6.7","","-1.2","","2.8","","15.2","","0.0","","0.2","","0.0","T","0.2","","32","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-27","1981","01","27","","1.7","","-20.7","","-9.5","","27.5","","0.0","","0.0","T","0.0","T","0.0","T","28","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-28","1981","01","28","","-8.5","","-24.8","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-29","1981","01","29","","-7.2","","-17.2","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","28","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-30","1981","01","30","","-9.3","","-23.6","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-01-31","1981","01","31","","-4.0","","-25.8","","-14.9","","32.9","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-01","1981","02","01","","1.2","","-10.9","","-4.9","","22.9","","0.0","","0.0","","4.8","","4.2","","25","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-02","1981","02","02","","1.9","","-18.6","","-8.4","","26.4","","0.0","","1.2","","3.2","","4.4","","25","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-03","1981","02","03","","-18.4","","-29.9","","-24.2","","42.2","","0.0","","0.0","","0.0","T","0.0","T","25","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-04","1981","02","04","","-12.7","","-29.9","","-21.3","","39.3","","0.0","","0.0","","1.6","","1.2","","25","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-05","1981","02","05","","-13.1","","-31.5","","-22.3","","40.3","","0.0","","0.0","","0.2","","0.2","","26","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-06","1981","02","06","","-6.5","","-14.9","","-10.7","","28.7","","0.0","","0.0","","1.4","","1.4","","26","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-07","1981","02","07","","-4.0","","-11.8","","-7.9","","25.9","","0.0","","0.0","","1.0","","1.0","","26","","","","",""
"-76.01","46.30","MANIWAKI UA","7034480","1981-02-08","1981","02","08","","0.6","","-5.7","","-2.6","","20.6","","0.0","","0.0","","1.4","","1.4","","27","","","","",""
