"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.55","46.57","MONT LAURIER","7035160","1990-01-01","1990","01","01","","-8.0","","-12.5","","-10.3","","28.3","","0.0","","0.0","","1.0","","1.0","","40","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-02","1990","01","02","","-1.0","","-20.5","","-10.8","","28.8","","0.0","","0.0","","0.8","","0.8","","40","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-03","1990","01","03","","-0.5","","-3.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-04","1990","01","04","","-0.5","","-2.0","","-1.3","","19.3","","0.0","","2.6","","12.2","","14.8","","39","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-05","1990","01","05","","-4.5","","-18.5","","-11.5","","29.5","","0.0","","0.0","","8.0","","8.0","","46","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-06","1990","01","06","","-5.0","","-17.5","","-11.3","","29.3","","0.0","","0.0","","1.0","","1.0","","51","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-07","1990","01","07","","-1.0","","-25.5","","-13.3","","31.3","","0.0","","0.0","","0.4","","0.4","","52","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-08","1990","01","08","","-4.0","","-11.0","","-7.5","","25.5","","0.0","","0.0","","0.8","","0.8","","51","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-09","1990","01","09","","-0.5","","-11.0","","-5.8","","23.8","","0.0","","0.0","","3.2","","3.2","","53","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-10","1990","01","10","","-2.0","","-11.5","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","55","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-11","1990","01","11","","-1.0","","-24.0","","-12.5","","30.5","","0.0","","0.0","","17.0","","17.0","","52","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-12","1990","01","12","","-3.5","","-14.5","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","64","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-13","1990","01","13","","-15.0","","-22.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-14","1990","01","14","","-13.0","","-31.0","","-22.0","","40.0","","0.0","","0.0","","1.2","","1.2","","58","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-15","1990","01","15","","-7.0","","-23.5","","-15.3","","33.3","","0.0","","0.0","","2.8","","2.8","","58","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-16","1990","01","16","","-2.5","","-9.0","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","60","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-17","1990","01","17","","4.0","","-6.5","","-1.3","","19.3","","0.0","","17.0","","0.0","","17.0","","50","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-18","1990","01","18","","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","0.8","","0.8","","39","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-19","1990","01","19","","-7.5","","-18.0","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","40","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-20","1990","01","20","","0.0","","-19.0","","-9.5","","27.5","","0.0","","0.0","","1.8","","1.8","","40","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-21","1990","01","21","","-14.0","","-21.5","","-17.8","","35.8","","0.0","","0.0","","3.8","","3.8","","41","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-22","1990","01","22","","-7.5","","-16.5","","-12.0","","30.0","","0.0","","0.0","","3.2","","3.2","","44","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-23","1990","01","23","","-2.0","","-11.0","","-6.5","","24.5","","0.0","","0.0","T","2.0","","2.0","","47","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-24","1990","01","24","","2.5","","-11.0","","-4.3","","22.3","","0.0","","10.2","","0.0","T","10.2","","49","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-25","1990","01","25","","5.5","","-1.0","","2.3","","15.7","","0.0","","4.2","","0.0","","4.2","","45","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-26","1990","01","26","","1.5","","-5.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","1990-01-27","1990","01","27","","5.0","","-16.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
