"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-01","2024","01","01","","-4.0","","-12.1","","-8.0","","26.0","","0.0","","","","","","0.0","","","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-02","2024","01","02","","3.4","","-9.4","","-3.0","","21.0","","0.0","","","","","","0.0","","0","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-03","2024","01","03","","2.7","","-5.9","","-1.6","","19.6","","0.0","","","","","","0.6","","","","34","","37",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-04","2024","01","04","","-5.9","","-15.7","","-10.8","","28.8","","0.0","","","","","","0.0","","","","34","","36",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-05","2024","01","05","","-3.0","","-15.5","","-9.2","","27.2","","0.0","","","","","","0.0","","0","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-06","2024","01","06","","-6.6","","-10.7","","-8.7","","26.7","","0.0","","","","","","1.3","","","","13","","33",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-07","2024","01","07","","-6.0","","-9.7","","-7.9","","25.9","","0.0","","","","","","1.6","","2","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-08","2024","01","08","","-2.4","","-11.9","","-7.1","","25.1","","0.0","","","","","","0.0","","3","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-09","2024","01","09","","0.4","","-4.8","","-2.2","","20.2","","0.0","","","","","","11.8","","2","","13","","43",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-10","2024","01","10","","4.6","","-7.7","","-1.6","","19.6","","0.0","","","","","","5.8","","8","","29","","47",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-11","2024","01","11","","-6.6","","-13.8","","-10.2","","28.2","","0.0","","","","","","0.0","","6","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-12","2024","01","12","","-4.8","","-18.0","","-11.4","","29.4","","0.0","","","","","","4.0","","5","","11","","53",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-13","2024","01","13","","0.6","","-6.7","","-3.1","","21.1","","0.0","","","","","","11.8","","15","","22","","44",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-14","2024","01","14","","-6.7","","-20.6","","-13.6","","31.6","","0.0","","","","","","0.0","","19","","22","","41",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-15","2024","01","15","","-5.7","","-14.8","","-10.3","","28.3","","0.0","","","","","","0.0","","19","","22","","33",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-16","2024","01","16","","-9.7","","-20.8","","-15.2","","33.2","","0.0","","","","","","0.4","","18","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-17","2024","01","17","","-8.2","","-17.3","","-12.7","","30.7","","0.0","","","","","","0.0","","17","","24","","37",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-18","2024","01","18","","-7.6","","-15.7","","-11.6","","29.6","","0.0","","","","","","0.0","","17","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-19","2024","01","19","","-14.4","","-22.1","","-18.3","","36.3","","0.0","","","","","","0.0","","17","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-20","2024","01","20","","-12.3","","-18.0","","-15.1","","33.1","","0.0","","","","","","0.0","","17","","33","","35",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-21","2024","01","21","","-7.6","","-22.3","","-14.9","","32.9","","0.0","","","","","","0.0","","17","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-22","2024","01","22","","-1.3","","-11.3","","-6.3","","24.3","","0.0","","","","","","0.3","","17","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-23","2024","01","23","","-1.2","","-7.9","","-4.5","","22.5","","0.0","","","","","","0.1","","17","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-24","2024","01","24","","-5.9","","-8.4","","-7.2","","25.2","","0.0","","","","","","2.9","","17","","","","",""
"-77.25","45.86","PEMBROKE CLIMATE","6106367","2024-01-25","2024","01","25","","1.4","","-6.1","","-2.3","","20.3","","0.0","","","","","","0.0","","17","","","","",""
