hydrologic_order,site_id,name,region,lat,lon,time_utc,total_cms,turbined_cms,spilled_cms,spill_share_pct
1,3-33,Première-Chute,Abitibi-Témiscamingue,47.6,-79.4526,2026-05-02T19:00:00+00:00,995.33,585.46,409.88,41.2
2,3-31,Rapides-des-Quinze,Abitibi-Témiscamingue,47.591,-79.2939,2026-05-02T19:00:00+00:00,952.4,407.18,545.22,57.2
3,3-32,Rapides-des-Îles,Abitibi-Témiscamingue,47.5768,-79.3547,2026-05-02T19:00:00+00:00,1057.06,619.59,437.48,41.4
4,3-29,Rapide-2,Abitibi-Témiscamingue,47.9336,-78.5763,2026-05-02T18:00:00+00:00,404.98,328.02,76.96,19.0
5,3-28,Rapide-7,Abitibi-Témiscamingue,47.7684,-78.3106,2026-05-02T19:00:00+00:00,341.22,341.22,0,0.0
6,3-46,Bryson,Outaouais,45.6612,-76.6317,2026-05-02T19:00:00+00:00,1357.36,231.43,1125.93,82.9
7,3-62,Cabonga,Outaouais,47.3097,-76.4689,2026-05-02T19:00:00+00:00,8.46,,6.55,77.4
8,3-63,Mercier,Outaouais,46.7175,-75.9829,2026-05-02T18:00:00+00:00,537.71,278.87,265.62,49.4
9,3-65,Paugan,Outaouais,45.8097,-75.9312,2026-05-02T19:00:00+00:00,871.24,602.18,269.06,30.9
10,3-66,Chelsea,Outaouais,45.5126,-75.7775,2026-05-02T19:00:00+00:00,,569.89,,
11,3-67,Rapides-Farmers,Outaouais,45.4988,-75.7633,2026-05-02T19:00:00+00:00,866.26,471.12,395.14,45.6
12,3-60,Carillon,Laurentides,45.568177,-74.383416,2026-05-02T19:00:00+00:00,6862.52,3104.26,3758.26,54.8
