year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1950,74.16,74.17,74.17,74.15,74.24,74.15,74.15,74.15,74.16,74.15,74.17,74.18,74.17,74.48,74.08
1951,74.17,74.17,74.16,75.13,74.53,74.20,74.19,74.17,74.15,74.17,74.25,74.14,74.29,75.91,73.98
1952,74.11,74.14,74.16,74.36,74.32,74.15,74.14,74.15,74.18,74.15,74.18,74.18,74.18,74.83,74.02
1953,74.14,74.15,74.20,74.56,74.14,74.09,74.11,74.14,74.11,74.10,74.12,74.13,74.16,74.97,73.98
1954,74.11,74.13,74.03,74.28,74.15,74.17,74.15,74.03,74.06,74.19,74.18,74.16,74.14,74.73,73.91
1955,74.15,74.12,74.10,74.51,74.18,74.08,74.11,74.14,74.13,74.14,74.15,74.13,74.16,75.11,73.99
1956,74.15,74.15,74.14,74.15,74.26,74.24,74.16,74.15,74.14,74.14,74.15,74.13,74.16,74.54,74.01
1957,74.13,74.15,74.14,74.14,74.13,74.13,74.42,74.12,74.14,74.15,74.19,74.14,74.16,74.94,74.04
1958,74.15,74.16,74.17,74.17,74.15,74.13,74.13,74.14,74.15,74.15,74.15,74.14,74.15,74.23,74.05
1959,74.13,74.12,74.14,74.15,74.21,74.16,74.11,74.11,74.11,74.12,74.13,74.12,74.13,74.37,74.00
1960,74.15,74.14,74.12,74.53,75.41,74.22,74.29,74.15,74.15,74.14,74.16,74.14,74.30,75.86,74.01
1961,74.15,74.13,74.15,74.15,74.13,74.15,74.16,74.16,74.15,74.14,74.14,74.15,74.15,74.21,74.08
1962,74.12,74.13,74.15,74.17,74.29,74.14,74.14,74.14,74.14,74.16,74.16,74.16,74.16,74.70,74.08
1963,74.16,74.16,74.16,74.18,74.17,74.15,74.15,74.14,74.15,74.15,74.16,74.15,74.16,74.21,74.09
1964,74.15,74.15,74.15,74.17,74.17,74.12,74.15,74.15,74.14,74.15,74.14,74.15,74.15,74.22,74.02
1965,74.15,74.15,74.15,74.16,74.22,74.14,74.14,74.15,74.13,74.20,74.19,74.17,74.16,74.34,74.04
1966,74.15,74.15,74.18,74.34,74.26,74.20,74.15,74.13,74.14,74.15,74.17,74.54,74.21,75.02,74.05
1967,74.19,74.18,74.15,74.53,74.67,74.39,74.19,74.13,74.15,74.17,74.21,74.17,74.26,75.24,74.06
1968,74.15,74.16,74.16,74.32,74.15,74.15,74.15,74.15,74.14,74.13,74.15,74.15,74.16,74.57,74.06
1969,74.14,74.14,74.14,74.24,74.40,74.19,74.15,74.10,74.14,74.14,74.18,74.14,74.18,74.64,74.00
1970,74.12,74.16,74.13,74.19,74.41,74.26,74.20,74.14,74.14,74.13,74.15,74.14,74.18,74.60,74.06
1971,74.13,74.12,74.14,74.33,74.56,74.13,74.16,74.17,74.17,74.17,74.16,74.16,74.20,75.18,74.05
1972,74.15,74.16,74.14,74.21,74.87,74.19,74.17,74.17,74.15,74.16,74.18,74.15,74.22,75.33,74.05
1973,74.15,74.18,74.22,74.61,74.54,74.19,74.18,74.16,74.17,74.15,74.15,74.14,74.24,74.97,74.08
1974,74.14,74.13,74.17,74.44,75.17,74.45,74.17,74.14,74.15,74.15,74.20,74.15,74.29,75.55,74.05
1975,74.15,74.13,74.15,74.26,74.39,74.15,74.15,74.17,74.17,74.18,74.17,74.16,74.19,74.93,74.06
1976,74.15,74.15,74.18,74.82,74.44,74.15,74.16,74.15,74.17,74.16,74.16,74.16,74.24,75.20,74.05
1977,74.16,74.16,74.16,74.34,74.24,74.17,74.16,74.17,74.17,74.17,74.15,74.16,74.18,74.75,74.10
1978,74.16,74.15,74.17,74.25,74.32,74.16,74.16,74.17,74.16,74.16,74.16,74.18,74.18,74.75,74.11
1979,74.17,74.16,74.17,74.55,75.06,74.16,74.15,74.15,74.15,74.16,74.16,74.21,74.27,75.80,74.05
1980,74.15,74.10,74.13,74.46,74.34,74.11,74.11,74.09,74.12,74.10,74.14,74.11,74.16,74.84,73.91
1981,74.10,74.20,74.21,74.59,74.20,74.18,74.14,74.14,74.14,74.15,74.13,74.13,74.19,74.94,74.03
1982,74.13,74.12,74.12,74.22,74.23,74.11,74.12,74.15,74.14,74.12,74.13,74.13,74.14,74.61,73.74
1983,74.13,74.10,74.13,74.20,74.68,74.36,74.09,74.12,74.10,74.13,74.14,74.14,74.19,75.36,74.01
1984,74.14,74.16,74.14,74.47,74.26,74.22,74.15,74.14,74.13,74.14,74.18,74.17,74.19,74.68,74.07
1985,74.14,74.13,74.15,74.40,74.63,74.10,74.11,74.11,74.12,74.14,74.12,74.12,74.19,75.40,73.99
1986,74.12,74.10,74.12,74.31,74.18,74.14,74.13,74.13,74.13,74.14,74.13,74.11,74.14,74.52,74.01
1987,74.12,74.12,74.12,74.27,74.13,74.12,74.12,74.12,74.09,74.14,74.14,74.15,74.14,74.45,74.01
1988,74.12,74.10,74.13,74.35,74.23,74.13,74.13,74.14,74.14,74.10,NA,NA,74.16,74.52,74.02
1990,NA,NA,NA,NA,NA,NA,NA,NA,74.14,74.15,74.16,74.26,74.18,74.52,74.00
1991,74.18,74.15,74.15,74.75,74.30,74.17,74.20,74.19,74.20,74.20,74.16,74.12,74.23,75.06,74.00
1992,74.12,74.12,74.16,74.34,74.32,74.17,74.18,74.18,74.17,74.15,74.21,74.18,74.19,74.91,74.01
