year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1950,177.39,177.33,176.91,177.41,179.37,179.32,179.29,179.20,178.65,177.95,177.70,177.87,178.20,179.57,176.69
1951,177.48,177.03,176.55,178.04,178.85,179.37,179.51,179.38,178.54,179.02,179.12,179.20,178.52,179.60,176.38
1952,178.45,177.96,177.18,177.27,179.07,179.45,179.23,179.30,179.45,178.94,178.46,179.03,178.65,179.55,176.35
1953,178.62,178.06,177.68,178.83,179.20,179.46,179.35,178.72,178.35,178.07,177.53,177.40,178.44,179.68,177.23
1954,176.97,176.74,176.69,177.03,179.08,179.42,179.27,179.06,178.65,179.33,179.41,179.13,178.41,179.74,176.20
1955,177.98,176.98,176.62,177.63,178.52,178.65,178.49,178.60,178.67,178.90,179.28,178.10,178.21,179.49,176.41
1956,176.85,176.52,176.51,176.80,178.68,179.40,179.37,179.25,179.12,179.37,178.61,178.05,178.22,179.67,176.37
1957,177.49,176.92,176.75,177.09,178.92,179.14,179.63,178.85,178.78,178.59,179.16,179.28,178.39,180.06,176.38
1958,179.34,178.34,177.09,176.83,177.73,178.77,178.73,178.47,178.55,178.77,179.28,177.83,178.31,179.51,176.54
1959,177.07,176.90,176.74,177.05,179.19,179.16,178.57,178.54,179.00,179.29,179.55,179.10,178.35,179.63,176.33
1960,178.62,177.58,176.87,177.45,180.14,179.61,179.62,179.32,178.72,178.73,178.40,178.27,178.62,181.04,176.72
1961,177.70,176.79,176.59,177.00,179.18,179.35,179.11,178.92,179.06,178.98,178.75,178.91,178.37,179.48,176.40
1962,178.13,177.29,176.62,177.02,179.15,178.80,178.52,178.65,178.60,178.41,178.32,178.19,178.15,179.40,176.51
1963,177.89,177.07,176.22,177.33,178.86,179.28,178.87,178.88,178.88,178.70,179.03,179.19,178.36,179.46,176.08
1964,178.32,177.36,176.63,177.38,179.36,179.43,179.04,178.74,178.58,178.76,178.83,178.62,178.42,179.62,176.29
1965,178.24,177.33,176.43,176.21,178.90,179.09,178.96,179.02,179.03,179.37,179.32,179.14,178.43,179.48,175.89
1966,178.08,177.29,176.81,177.39,178.98,179.38,179.24,179.19,178.75,179.08,179.30,179.72,178.61,180.25,176.62
1967,178.85,177.62,177.03,177.50,179.14,179.49,179.13,179.19,178.93,178.65,179.36,179.20,178.68,179.78,176.75
1968,178.69,177.29,176.48,177.87,178.79,179.06,178.99,179.24,179.06,178.81,178.58,178.46,178.45,179.39,176.12
1969,178.06,177.13,176.24,177.04,179.22,179.35,179.16,179.17,178.90,178.84,179.44,179.11,178.48,179.65,175.85
1970,178.40,177.30,176.35,176.10,178.94,179.46,179.50,179.18,178.77,179.00,178.78,178.63,178.38,179.62,175.65
1971,177.85,177.03,176.54,176.60,178.38,179.09,178.88,178.79,178.41,178.44,178.57,178.39,178.09,179.26,175.92
1972,177.63,177.11,176.39,176.02,178.72,179.28,179.29,179.00,179.10,178.77,179.05,178.81,178.27,179.47,175.57
1973,178.42,177.87,177.00,178.71,179.28,179.46,179.22,178.98,179.19,179.22,178.77,178.64,178.73,179.55,176.79
1974,177.88,177.20,176.58,176.48,179.33,179.39,179.27,178.97,178.77,179.24,179.41,178.99,178.47,179.67,175.90
1975,178.13,177.25,176.15,175.95,178.39,179.33,179.00,178.87,178.64,178.71,178.75,178.37,178.13,179.57,175.50
1976,177.49,176.23,176.03,177.83,179.24,179.27,179.21,178.87,178.84,178.88,178.60,178.12,178.22,179.48,175.83
1977,177.06,176.55,176.20,177.41,178.91,179.22,179.11,178.80,178.76,179.00,179.26,179.09,178.29,179.42,176.10
1978,178.34,177.21,175.97,175.61,177.82,179.36,179.14,178.76,178.80,179.25,178.89,178.90,178.18,179.49,175.39
1979,178.22,177.05,176.15,177.16,179.26,179.46,179.12,179.28,179.16,179.28,179.40,179.28,178.58,179.57,176.05
1980,178.40,177.09,176.12,177.20,179.22,179.21,179.36,179.16,178.99,179.14,179.19,178.75,178.49,179.43,175.86
1981,178.08,177.55,177.16,178.28,179.29,179.47,179.29,178.83,178.80,179.03,178.97,178.57,178.62,179.53,176.41
1982,178.45,177.75,175.97,175.93,178.56,179.34,179.23,178.84,178.69,179.15,179.32,179.32,178.39,179.45,175.43
1983,178.98,177.91,176.55,176.59,179.14,179.43,179.28,178.96,178.60,178.95,179.27,179.19,178.58,179.69,175.89
1984,178.41,177.11,176.09,176.85,178.83,179.44,179.39,179.31,179.03,178.92,179.31,179.36,178.51,179.55,175.81
1985,178.63,177.05,176.17,176.39,179.20,179.39,179.35,179.10,178.83,178.87,179.16,179.07,178.45,179.58,175.68
1986,178.33,176.79,175.75,176.81,178.91,179.28,179.20,179.13,179.07,179.21,179.00,178.24,178.32,179.39,175.55
1987,177.92,176.86,175.71,176.54,177.70,178.66,179.21,178.84,178.58,178.66,178.93,178.94,178.06,179.31,175.39
1988,178.54,176.85,175.60,177.61,179.11,179.32,179.06,179.03,179.15,179.31,179.28,179.16,178.51,179.46,175.45
1989,178.80,177.03,175.79,176.32,178.35,179.35,179.27,178.92,178.59,178.52,179.05,179.05,178.26,179.55,175.65
1990,178.17,176.51,175.99,176.33,178.84,179.36,179.33,179.27,179.02,179.39,179.27,179.30,178.41,179.59,175.66
1991,178.91,177.30,175.89,177.64,179.01,179.34,179.23,178.91,178.68,178.85,179.35,179.15,178.53,179.49,175.65
1992,178.28,176.67,175.75,175.79,178.55,179.36,179.12,178.82,179.08,179.04,179.28,179.13,178.25,179.51,175.24
1993,178.69,177.22,175.70,176.22,178.62,179.28,179.25,179.16,179.22,179.36,179.25,179.00,178.42,179.56,175.48
1994,178.89,177.71,176.08,175.99,178.55,179.27,179.33,179.08,178.99,179.03,179.09,178.99,178.42,179.46,175.42
1995,177.88,177.11,176.56,176.31,178.68,179.26,179.11,178.89,178.67,178.68,179.19,178.89,178.28,179.40,175.87
1996,177.67,177.10,176.29,176.06,178.90,179.37,179.36,179.16,179.04,179.09,178.95,178.82,178.32,179.48,175.46
1997,178.95,178.29,176.46,176.55,178.90,179.22,179.31,179.03,178.84,178.65,178.76,178.78,178.48,179.38,175.49
1998,178.44,177.30,175.87,178.49,178.97,179.30,179.13,178.81,178.68,178.68,178.59,179.07,178.45,179.36,175.53
1999,178.84,177.81,176.16,176.68,178.08,179.19,179.26,179.05,178.81,179.17,179.15,179.24,178.46,179.39,175.63
2000,178.85,177.45,176.49,177.42,178.82,179.32,179.30,179.21,178.91,178.65,178.98,178.96,178.53,179.45,176.26
2001,178.42,177.57,176.10,176.79,179.16,179.24,179.14,178.88,178.76,179.13,179.16,179.14,178.46,179.47,175.51
2002,178.39,177.04,176.27,177.19,179.08,179.33,179.22,179.08,178.75,178.63,178.68,178.94,178.39,179.52,175.87
2003,178.72,177.29,175.98,176.03,178.06,179.31,179.32,179.16,178.79,178.81,179.19,179.06,178.32,179.41,175.54
2004,178.42,177.06,176.01,176.85,178.99,179.24,179.31,179.08,178.99,178.72,178.75,178.69,178.35,179.52,175.77
2005,178.30,177.05,175.74,176.76,178.72,179.12,179.14,178.88,178.69,178.82,179.04,179.05,178.29,179.27,175.48
2006,178.63,177.58,176.23,177.76,179.14,179.22,179.17,179.23,178.98,179.10,179.20,179.27,178.63,179.41,175.86
2007,178.69,177.64,176.19,176.81,178.85,179.29,179.22,178.98,178.78,178.67,178.86,178.68,178.39,179.45,175.77
2008,178.56,178.11,176.14,176.76,179.12,179.26,179.15,179.19,179.11,179.00,179.07,178.95,178.54,179.46,175.51
2009,178.76,177.31,176.05,176.92,179.11,179.08,179.23,179.23,179.01,178.89,178.94,179.01,178.47,179.37,175.79
2010,178.59,177.14,175.99,177.28,178.74,178.97,178.94,178.79,178.95,179.05,179.12,179.13,178.40,179.41,175.88
2011,178.63,177.20,176.03,176.48,179.00,179.15,179.26,179.26,178.91,178.87,179.03,179.14,178.42,179.42,175.72
2012,178.67,176.75,176.92,178.88,179.19,179.23,178.99,178.92,178.81,178.89,179.09,178.79,178.60,179.34,175.88
2013,178.24,177.17,176.08,176.53,179.27,179.19,179.07,179.20,178.90,179.11,179.23,178.83,178.41,179.49,175.87
2014,178.56,177.36,175.86,176.05,178.95,179.20,179.24,179.17,179.06,179.10,178.86,178.87,178.37,179.49,175.54
2015,178.87,177.71,176.15,176.64,179.12,179.17,179.15,179.06,178.83,178.70,179.08,179.05,178.47,179.37,175.57
2016,178.66,178.33,177.06,177.01,178.81,179.28,179.17,179.13,178.88,178.67,178.55,178.66,178.52,179.35,176.52
2017,178.27,177.16,176.42,177.35,179.38,179.28,179.21,179.27,179.15,178.70,178.40,178.37,178.42,179.54,176.08
2018,177.84,176.86,175.97,175.60,178.66,179.19,179.11,179.22,179.20,179.28,179.03,178.88,178.25,179.48,175.46
2019,178.45,177.29,176.09,176.55,179.68,179.43,179.12,179.02,178.81,178.82,178.91,178.82,178.43,179.86,175.80
2020,178.62,177.03,175.74,176.83,178.88,179.26,179.20,179.10,179.07,179.18,179.06,178.85,178.41,179.41,175.65
2021,178.48,177.09,176.10,177.71,179.22,179.10,179.25,179.07,178.89,178.81,178.73,178.89,178.45,179.48,175.92
