year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1950,57.97,58.00,57.96,58.45,58.80,58.27,58.01,57.85,57.88,57.86,58.02,58.09,58.10,59.07,57.76
1951,58.03,58.07,58.26,59.59,58.90,58.13,58.20,57.89,57.91,58.31,58.78,58.47,58.38,60.21,57.80
1952,58.29,58.20,58.26,58.90,58.90,58.48,57.97,57.94,57.97,57.95,57.91,58.08,58.24,59.34,57.74
1953,58.12,58.18,58.46,59.12,58.46,58.05,57.90,57.83,57.76,57.82,57.78,57.85,58.11,59.49,57.67
1954,57.89,57.89,58.18,58.74,58.56,58.61,58.27,58.01,58.01,58.60,58.53,58.41,58.31,59.28,57.71
1955,58.25,58.15,58.10,59.04,58.44,58.00,57.87,57.76,57.73,57.87,58.40,58.20,58.15,59.59,57.61
1956,58.06,58.00,57.99,58.53,58.81,58.57,58.24,58.16,58.36,58.44,58.19,58.17,58.29,59.08,57.90
1957,58.12,58.13,58.21,58.34,58.40,58.20,58.82,58.04,58.12,58.24,58.46,58.46,58.30,59.41,57.85
1958,58.36,58.30,58.38,58.63,58.20,58.08,58.08,57.89,57.95,58.07,58.30,58.22,58.21,58.86,57.84
1959,58.10,58.06,58.01,58.58,58.72,58.20,57.91,57.84,57.97,58.08,58.46,58.44,58.20,58.96,57.79
1960,58.28,58.30,58.25,58.99,59.68,58.47,58.70,58.28,57.98,58.01,58.08,58.06,58.42,60.14,57.93
1961,58.02,57.95,57.97,58.32,58.52,58.25,58.13,58.04,58.03,58.13,58.06,58.18,58.14,58.68,57.86
1962,58.17,58.22,58.10,58.60,58.77,58.15,57.82,57.72,57.74,57.79,57.84,57.79,58.06,59.27,57.63
1963,57.79,57.85,57.91,58.57,58.36,58.13,57.87,57.72,57.87,57.84,57.91,58.16,58.00,58.74,57.62
1964,58.15,58.13,58.23,58.50,58.53,58.33,58.06,57.82,57.74,57.84,57.87,57.96,58.10,58.96,57.69
1965,58.04,58.04,58.09,58.35,58.90,58.21,57.90,58.03,58.37,58.83,58.56,58.48,58.32,59.07,57.80
1966,58.46,58.34,58.51,58.82,58.71,58.55,58.03,58.14,57.99,58.12,58.38,59.10,58.43,59.55,57.88
1967,58.53,58.50,58.19,59.16,59.18,58.83,58.39,58.01,57.96,58.28,58.77,58.48,58.52,59.77,57.86
1968,58.39,58.29,58.35,58.91,58.22,58.15,58.20,58.02,58.03,58.00,58.01,58.02,58.22,59.20,57.90
1969,58.09,58.15,58.19,58.72,59.05,58.54,58.18,58.11,57.95,58.02,58.55,58.40,58.33,59.24,57.85
1970,58.22,58.15,58.19,58.47,59.00,58.72,58.65,58.32,58.04,58.10,58.17,58.20,58.35,59.22,57.90
