year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1965,41.49,41.59,41.67,41.68,42.04,41.46,41.31,41.40,41.61,42.23,41.97,42.02,41.71,42.41,41.21
1966,42.10,42.06,42.30,42.16,42.04,41.81,41.35,41.46,41.35,41.43,41.66,42.74,41.87,43.28,41.17
1967,42.48,42.41,41.94,42.49,42.45,42.14,41.77,41.46,41.43,41.69,42.19,42.04,42.04,43.16,41.30
1968,42.20,42.12,42.20,42.07,41.59,41.50,41.52,41.39,41.36,41.33,41.37,41.51,41.69,42.73,41.21
1969,41.72,41.77,41.74,41.98,42.11,41.84,41.54,41.43,41.36,41.40,41.79,41.89,41.72,42.53,41.26
1970,41.78,41.77,41.81,41.97,42.06,41.92,41.84,41.62,41.42,41.48,41.55,41.70,41.74,42.35,41.29
1971,41.71,41.79,41.95,42.20,42.30,41.57,41.33,41.31,41.29,NA,NA,41.50,41.70,43.11,41.09
1972,41.57,41.57,41.68,42.10,42.86,41.96,41.85,41.71,41.61,41.58,41.91,42.02,41.87,43.49,41.39
1973,42.04,42.21,42.82,42.77,42.65,42.13,41.83,41.53,41.45,41.58,41.54,41.88,42.04,43.94,41.20
1974,41.83,41.82,42.27,42.40,43.90,42.92,41.75,41.41,41.36,41.56,41.79,41.96,42.09,44.91,41.00
1975,42.09,42.04,42.07,42.10,42.11,41.75,41.35,41.36,41.34,41.43,41.46,41.74,41.74,43.02,41.00
1976,41.68,41.92,NA,43.23,42.60,41.74,41.56,41.51,41.52,41.50,41.42,41.77,41.82,44.74,41.08
1977,41.75,41.72,42.29,42.34,42.03,41.38,41.41,41.36,41.34,41.36,41.55,42.05,41.71,43.43,41.12
1978,42.13,42.19,41.85,42.24,42.08,41.54,41.36,41.31,41.27,41.41,41.35,41.40,41.69,42.60,41.21
1979,41.67,41.68,42.12,42.51,43.21,41.82,41.50,41.43,41.38,41.65,41.93,42.35,41.95,44.12,41.29
1980,42.27,42.05,42.21,42.40,42.07,41.46,41.45,41.44,41.36,41.69,41.58,41.93,41.82,43.36,41.03
1981,41.98,42.53,42.26,42.74,42.15,42.04,41.50,41.37,41.54,41.60,41.67,41.58,41.91,44.25,41.03
1982,41.61,41.67,41.82,42.15,41.79,41.46,41.34,41.27,41.28,41.34,41.50,41.98,41.60,42.52,41.19
1983,42.34,42.25,42.14,42.06,42.96,42.22,41.40,41.33,41.27,41.33,41.44,41.74,41.87,44.00,40.91
1984,41.78,42.02,42.05,42.65,42.04,42.01,41.69,41.44,41.39,41.37,41.63,41.89,41.83,43.12,41.25
1985,42.27,42.28,42.41,42.34,42.54,41.51,41.45,41.57,41.35,41.34,41.41,41.60,41.84,43.53,41.22
1986,41.69,41.77,41.70,42.20,42.05,41.74,41.42,41.41,41.41,41.57,41.58,41.71,41.69,42.74,41.28
1987,41.76,41.72,41.75,42.11,41.35,41.35,41.29,41.26,41.24,41.26,41.36,41.59,41.50,42.57,41.16
1988,41.84,41.91,41.64,42.28,42.04,41.38,41.28,41.38,41.41,41.83,42.34,42.07,41.78,42.60,41.24
1989,42.09,42.14,41.93,42.06,42.18,42.06,41.39,41.26,41.28,41.27,41.53,41.83,41.75,42.86,41.14
1990,41.99,42.06,42.10,42.13,41.96,41.52,41.47,41.33,41.30,41.61,41.75,42.33,41.79,42.65,41.23
1991,42.27,42.29,42.15,42.82,41.92,41.40,41.28,41.24,41.26,41.34,41.45,41.82,41.77,43.47,41.19
1992,41.86,42.01,41.94,42.22,42.24,41.55,41.51,41.36,41.49,41.62,42.05,41.97,41.82,42.95,41.22
1993,42.15,42.13,41.84,42.38,41.55,41.63,41.35,41.28,41.29,41.52,41.82,41.86,41.73,42.79,41.21
1994,41.87,42.13,42.07,41.91,41.92,41.78,41.77,41.56,41.36,41.34,41.52,41.65,41.74,42.49,41.27
1995,42.23,42.39,42.22,41.54,41.91,41.86,41.34,41.31,41.23,41.21,41.61,41.93,41.73,42.90,41.20
