year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1950,150.95,151.08,151.11,151.13,152.52,152.20,152.59,152.61,152.22,152.40,152.40,151.80,151.92,153.46,150.76
1951,151.86,151.96,151.86,153.41,152.91,152.32,152.42,152.06,152.22,152.95,153.29,153.02,152.52,154.47,151.38
1952,152.57,152.26,152.04,151.97,152.89,152.73,151.89,152.33,152.13,151.96,152.33,152.45,152.30,153.69,151.19
1953,152.62,152.53,152.74,153.38,152.57,152.47,152.46,152.41,152.40,152.50,152.12,152.52,152.56,154.14,151.65
1954,152.58,152.47,152.48,152.00,151.79,152.99,152.51,152.42,152.54,153.20,153.07,152.82,152.57,154.26,150.68
1955,152.58,152.62,152.26,151.88,152.45,152.13,151.97,151.95,151.83,152.15,152.87,152.70,152.28,153.35,150.96
1956,152.17,152.10,151.67,151.65,152.55,152.89,152.72,152.56,152.74,153.06,152.62,152.42,152.43,153.87,150.22
1957,152.36,152.54,152.44,152.36,152.76,152.57,153.45,151.90,152.36,152.57,152.90,152.87,152.59,154.63,151.01
1958,152.75,152.72,152.56,151.40,151.52,152.23,152.30,151.96,152.01,152.50,152.68,152.60,152.27,153.08,150.26
1959,152.14,152.13,151.92,151.52,152.58,152.45,152.02,151.78,152.26,152.43,152.85,152.85,152.24,153.23,149.98
1960,152.73,152.77,152.45,152.30,154.62,153.00,153.34,152.80,152.71,152.75,152.81,152.68,152.91,155.78,151.44
1961,152.68,152.53,152.35,152.19,152.45,152.73,152.60,152.56,152.56,152.71,152.59,152.67,152.55,153.04,151.43
1962,152.75,152.67,152.50,152.18,152.78,152.46,151.91,151.90,152.36,152.58,152.48,152.43,152.42,153.31,151.52
1963,152.39,152.60,152.46,151.73,152.19,152.46,152.08,152.34,152.53,152.57,152.58,152.68,152.38,152.91,150.88
1964,152.79,152.76,152.34,151.78,152.77,152.91,152.63,152.55,152.49,152.61,152.62,152.68,152.58,153.53,150.78
1965,152.74,152.77,152.22,151.25,152.62,152.70,152.49,152.63,153.02,153.38,152.91,152.76,152.63,154.00,150.21
1966,152.82,152.82,152.34,152.34,152.62,152.86,152.63,152.74,152.65,152.81,153.11,153.63,152.78,154.19,151.73
1967,153.02,153.24,152.35,152.81,153.48,153.36,152.75,152.62,152.60,152.59,152.92,152.76,152.87,154.38,152.00
1968,152.83,152.77,152.38,152.14,152.28,152.64,152.60,152.67,152.66,152.69,152.54,152.46,152.55,153.05,151.21
1969,152.50,152.54,152.17,151.81,152.74,152.88,152.68,152.71,152.64,152.74,153.17,152.93,152.63,153.57,151.23
1970,152.81,152.75,152.26,151.62,152.66,153.30,153.35,152.89,152.75,152.76,152.73,152.78,152.72,153.89,151.08
1971,152.75,152.75,152.33,151.87,152.71,152.60,152.34,152.46,152.12,152.22,152.43,152.60,152.43,153.02,151.06
1972,152.67,152.68,152.44,151.58,152.86,152.71,152.56,152.66,152.58,152.69,152.78,152.68,152.58,153.17,151.03
1973,152.67,152.76,152.44,152.73,153.18,152.94,152.75,152.51,152.58,152.63,152.80,152.74,152.73,153.87,151.77
1974,152.58,152.62,152.43,152.07,153.54,153.49,153.01,152.58,152.47,152.59,152.84,152.76,152.75,154.06,151.30
1975,152.71,152.78,152.15,151.51,152.65,152.96,152.51,152.40,152.37,152.45,152.50,152.68,152.47,153.37,150.75
1976,152.67,152.68,152.22,153.11,153.53,152.65,152.59,152.48,152.45,152.52,152.49,152.67,152.67,154.02,151.40
1977,152.67,152.66,151.86,152.95,152.88,152.53,152.56,152.44,152.50,152.52,152.69,152.76,152.58,153.69,151.43
1978,152.75,152.83,151.81,151.18,152.49,152.63,152.52,152.43,152.44,152.63,152.64,152.64,152.41,152.99,150.79
1979,152.67,152.71,152.04,152.56,154.06,153.12,152.70,152.67,152.62,152.67,153.10,153.11,152.84,154.85,151.55
1980,153.05,152.82,151.83,152.41,153.19,152.43,152.55,152.41,152.51,152.73,152.77,152.76,152.62,153.88,151.21
1981,152.60,152.72,152.33,153.25,152.87,152.91,152.59,152.51,152.57,152.60,152.68,152.63,152.69,154.05,151.78
1982,152.68,152.72,151.87,151.51,152.46,152.56,152.48,152.44,152.37,152.49,152.72,152.87,152.43,153.06,150.69
1983,152.95,152.83,152.30,151.94,153.37,153.24,152.53,152.46,152.23,152.51,152.66,152.67,152.64,154.34,151.62
1984,152.80,152.77,151.92,152.15,152.66,153.01,152.72,152.45,152.47,152.51,152.87,152.92,152.60,153.53,151.24
1985,152.89,152.75,151.92,151.92,153.24,152.66,152.80,152.69,152.50,152.47,152.53,152.63,152.58,153.76,151.21
1986,152.66,152.82,151.61,152.43,152.96,152.65,152.46,152.40,152.41,152.58,152.59,152.55,152.51,153.30,151.07
1987,152.63,152.73,151.59,151.85,152.11,152.10,152.18,152.21,151.95,151.99,152.42,152.61,152.20,152.97,150.90
1988,152.75,152.79,151.70,152.42,152.93,152.48,152.38,152.59,152.64,153.09,153.33,153.02,152.67,153.73,151.00
1989,152.97,152.84,151.70,151.84,152.96,153.17,152.50,152.07,152.00,151.88,152.45,152.64,152.42,153.92,151.09
1990,152.79,152.47,151.59,151.83,152.73,152.62,152.60,152.39,152.40,152.87,152.92,153.21,152.54,153.88,151.18
1991,152.91,152.90,151.81,152.46,152.67,152.45,152.35,152.29,152.35,152.51,152.67,152.66,152.50,153.28,151.15
1992,152.77,152.77,151.63,151.22,152.60,152.47,152.52,152.42,152.62,152.61,152.93,152.77,152.44,153.19,150.58
1993,152.70,152.79,151.55,151.25,152.20,152.64,152.43,152.35,152.34,152.75,152.95,152.76,152.39,153.40,150.53
1994,152.83,153.03,151.81,151.22,152.71,152.74,152.85,152.57,152.45,152.53,152.71,152.65,152.51,153.22,150.62
1995,152.81,152.57,152.03,151.50,153.10,152.93,152.39,152.35,152.32,152.34,152.58,152.73,152.47,153.88,150.97
1996,152.70,152.76,151.94,151.53,153.49,152.75,152.76,152.54,152.42,152.50,152.65,152.62,152.56,153.88,150.73
1997,152.74,152.91,152.04,152.15,153.19,152.82,152.64,152.46,152.46,152.50,152.51,152.53,152.57,153.59,150.88
1998,152.63,152.68,151.74,152.68,152.42,152.47,152.34,152.29,152.30,152.35,152.37,152.67,152.41,153.06,150.63
1999,152.73,152.76,151.77,151.84,152.34,152.73,152.54,152.47,152.44,152.86,153.07,153.08,152.56,153.41,150.68
2000,152.87,152.85,152.41,152.24,152.57,152.58,152.48,152.54,152.41,152.26,152.42,152.64,152.52,153.02,151.80
2001,152.65,152.50,151.90,152.08,152.79,152.53,152.36,152.24,152.34,153.14,153.29,153.27,152.59,153.73,150.51
2002,152.98,152.84,152.09,152.49,153.23,153.11,152.60,152.48,152.36,152.46,152.38,152.43,152.62,153.85,151.25
2003,152.68,152.75,151.94,151.59,152.29,152.51,152.53,152.63,152.36,152.67,152.95,152.88,152.48,153.44,151.11
2004,152.87,152.86,151.88,152.21,153.13,152.63,153.07,152.41,152.38,152.35,152.37,152.60,152.56,154.04,151.30
2005,152.64,152.71,151.69,152.16,152.45,152.41,152.39,152.37,152.33,152.36,152.66,152.82,152.41,153.01,150.89
2006,152.84,152.87,152.04,152.76,152.61,152.47,152.42,152.38,152.36,152.76,153.01,153.13,152.64,153.40,151.36
2007,153.05,152.80,151.89,151.66,152.35,152.79,152.57,152.29,152.30,152.25,152.43,152.43,152.40,153.37,151.27
2008,152.61,152.83,151.83,151.84,153.16,152.95,152.94,152.70,152.55,152.50,152.64,152.67,152.60,153.48,150.93
2009,152.80,152.81,151.82,152.52,153.44,152.88,152.63,152.62,152.42,152.60,152.87,152.62,152.67,153.83,151.31
2010,152.60,152.75,151.80,151.99,152.28,152.32,152.28,152.26,152.47,152.61,152.54,152.63,152.37,153.22,151.21
2011,152.80,152.71,151.42,151.73,152.90,152.55,152.50,152.38,152.33,152.35,152.56,152.54,152.40,153.18,151.11
2012,152.81,152.82,152.35,152.56,152.42,152.36,152.23,152.31,152.35,152.61,152.97,152.65,152.53,153.47,151.82
