year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1950,111.16,111.19,111.15,111.41,112.05,111.57,111.32,111.17,111.17,111.16,111.32,111.38,111.34,112.48,111.05
1951,111.33,111.35,111.49,112.67,112.01,111.44,111.52,111.30,111.29,111.74,112.10,111.81,111.67,113.34,111.10
1952,111.64,111.54,111.56,111.96,112.07,111.76,111.33,111.32,111.32,111.32,111.27,111.43,111.54,112.59,111.04
1953,111.50,111.58,111.81,112.38,111.72,111.37,111.24,111.14,110.98,111.14,111.10,111.18,111.43,112.79,110.91
1954,111.23,111.21,111.46,111.79,111.74,111.93,111.64,111.36,111.38,111.99,111.87,111.73,111.61,112.55,111.06
1955,111.62,111.55,111.49,112.00,111.66,111.36,111.16,111.05,111.03,111.20,111.73,111.59,111.45,112.51,110.85
1956,111.37,111.31,111.32,111.64,112.03,111.81,111.59,111.49,111.63,111.83,111.54,111.49,111.59,112.43,111.12
1957,111.44,111.47,111.52,111.61,111.69,111.47,112.17,111.39,111.43,111.56,111.79,111.81,111.61,112.85,111.02
1958,111.67,111.67,111.66,111.77,111.34,111.39,111.39,111.22,111.25,111.39,111.64,111.58,111.50,111.86,111.09
1959,111.45,111.40,111.34,111.67,111.98,111.52,111.25,111.16,111.25,111.37,111.77,111.74,111.49,112.21,111.03
1960,111.61,111.57,111.55,112.09,113.12,111.87,112.10,111.69,111.37,111.34,111.40,111.44,111.76,113.67,111.19
1961,111.40,111.29,111.29,111.56,111.73,111.57,111.43,111.33,111.39,111.50,111.42,111.50,111.45,112.00,111.11
1962,111.56,111.62,111.43,111.81,112.06,111.49,111.12,111.03,111.06,111.08,111.07,111.02,111.36,112.65,110.96
1963,111.02,111.08,111.14,111.72,111.58,111.43,111.15,111.07,111.16,111.11,111.14,111.41,111.25,111.88,110.93
1964,111.41,111.39,111.43,111.64,111.74,111.66,111.37,111.12,111.03,111.14,111.16,111.24,111.36,112.21,110.96
1965,111.33,111.34,111.34,111.41,111.98,111.44,111.16,111.29,111.73,112.05,111.76,111.66,111.54,112.39,111.06
1966,111.69,111.62,111.66,111.99,111.81,111.73,111.29,111.46,111.32,111.49,111.75,112.33,111.68,112.78,111.14
1967,111.73,111.36,111.20,112.19,112.34,112.03,111.46,111.23,111.21,111.34,111.84,111.68,111.63,113.00,111.07
1969,NA,NA,NA,NA,NA,111.48,111.40,111.40,111.23,111.33,111.86,111.69,111.48,112.14,111.08
1970,111.52,111.44,111.47,111.55,112.05,112.00,111.94,111.60,111.34,111.41,111.43,111.44,111.60,112.51,111.21
1971,111.40,111.39,111.51,111.77,112.00,111.42,111.00,111.09,110.87,110.90,111.03,111.19,111.29,112.54,110.81
1972,111.34,111.38,111.43,111.54,112.26,111.68,111.41,111.48,111.49,111.40,111.56,111.60,111.55,112.66,111.14
1973,111.48,111.55,111.67,112.13,112.16,111.88,111.58,111.27,111.27,111.43,111.52,111.55,111.62,112.68,111.10
1974,111.44,111.39,111.57,111.84,112.63,112.20,111.66,111.20,111.18,111.32,111.66,111.62,111.66,112.88,111.12
1975,111.53,111.59,111.54,111.72,111.77,111.70,111.18,111.02,110.94,110.99,111.07,111.39,111.35,112.36,110.89
1976,111.40,111.40,111.49,112.31,112.22,111.56,111.36,111.21,111.12,111.20,111.21,111.37,111.50,112.60,110.97
1977,111.35,111.34,111.56,112.09,111.69,111.22,111.24,111.10,111.13,111.21,111.41,111.59,111.41,112.48,111.04
1978,111.52,111.55,111.41,111.44,111.82,111.47,111.18,111.07,111.04,111.39,111.38,111.40,111.39,112.26,110.96
1979,111.48,111.48,111.58,112.20,112.69,111.85,111.46,111.39,111.34,111.64,111.92,111.94,111.75,113.32,111.19
1980,111.77,111.60,111.55,112.09,112.03,111.34,111.34,111.28,111.27,111.66,111.68,111.56,111.60,112.46,111.09
1981,111.44,111.52,111.83,112.38,111.87,111.79,111.36,111.13,111.36,111.46,111.57,111.43,111.59,112.70,111.00
1982,111.38,111.41,111.43,111.59,111.56,111.31,111.15,111.01,111.01,111.16,111.48,111.69,111.35,112.23,110.94
1983,111.73,111.64,111.71,111.74,112.26,112.02,111.25,111.14,111.02,111.18,111.42,111.51,111.55,112.82,110.92
1984,111.56,111.58,111.57,111.93,111.79,111.91,111.67,111.28,111.21,111.25,111.68,111.74,111.59,112.37,111.07
1985,111.72,111.63,111.62,111.90,112.27,111.43,111.45,111.47,111.20,111.19,111.32,111.51,111.56,112.86,111.12
1986,111.47,111.57,111.36,112.04,111.87,111.57,111.22,111.19,111.17,111.42,111.63,111.47,111.50,112.22,111.04
1987,111.47,111.44,111.36,111.72,111.11,111.01,111.01,111.01,110.89,110.90,111.11,111.36,111.20,112.04,110.84
1988,111.50,111.54,111.31,112.08,111.92,111.27,111.05,111.21,111.34,111.80,112.08,111.77,111.56,112.33,110.95
1989,111.70,111.73,111.40,111.84,112.03,112.02,111.30,111.09,111.05,110.87,111.17,111.51,111.52,112.52,110.85
1990,111.52,111.59,111.57,111.84,111.87,111.45,111.43,111.12,111.11,111.69,111.78,111.99,111.58,112.39,111.01
1991,111.70,111.74,111.52,112.20,111.70,111.32,111.10,111.01,111.05,111.17,111.39,111.64,111.46,112.51,110.95
1992,111.57,111.62,111.40,111.49,111.81,111.22,111.16,111.06,111.33,111.52,111.83,111.68,111.47,112.35,110.98
1993,111.60,111.61,111.31,111.53,111.31,111.49,111.08,110.97,111.02,111.45,111.72,111.54,111.38,112.05,110.89
1994,111.46,111.64,111.49,111.41,111.57,111.56,111.62,111.33,111.15,111.20,111.49,111.50,111.45,111.94,110.97
1995,111.60,111.57,111.54,111.41,111.93,111.74,111.13,111.10,110.95,111.00,111.51,111.58,111.42,112.44,110.92
1996,111.51,111.54,111.43,111.62,112.45,111.65,111.56,111.41,111.12,111.15,111.43,111.46,111.53,112.70,111.03
1997,111.56,111.71,111.60,111.94,112.39,111.61,111.40,111.08,111.16,111.23,111.25,111.25,111.52,112.56,110.99
1998,111.32,111.49,111.42,112.24,111.23,111.17,111.11,110.97,110.96,110.99,111.06,111.34,111.27,112.53,110.88
1999,111.47,111.59,111.46,111.52,110.97,111.37,111.33,111.09,111.04,111.57,111.88,111.95,111.44,112.22,110.81
2000,111.69,111.67,111.75,111.73,111.60,111.42,111.27,111.32,111.20,111.16,111.30,111.45,111.46,111.98,111.06
2001,111.45,111.50,111.49,111.79,111.67,111.45,111.13,110.97,111.07,111.85,112.02,112.02,111.53,112.34,110.89
2002,111.79,111.67,111.68,112.19,112.15,111.97,111.45,111.12,111.03,111.08,111.13,111.15,111.53,112.90,110.95
2003,111.27,111.27,111.26,111.68,111.44,111.51,111.37,111.40,111.19,111.50,111.96,111.88,111.48,112.25,111.11
2004,111.77,111.67,111.57,112.04,112.23,111.65,111.83,111.17,111.14,111.00,111.22,111.45,111.56,112.61,110.98
2005,111.57,111.54,111.39,111.99,111.59,111.32,111.06,110.84,110.87,111.13,111.41,111.73,111.36,112.38,110.76
2006,111.68,111.67,111.65,112.30,111.68,111.42,111.19,111.19,111.14,111.70,111.95,112.02,111.64,112.57,111.03
2007,111.93,111.77,111.61,111.65,111.41,111.71,111.41,111.06,110.98,110.94,111.13,111.32,111.41,112.22,110.91
2008,111.63,111.71,111.60,111.99,112.16,111.77,111.82,111.60,111.41,111.35,111.53,111.62,111.68,112.54,111.27
2009,111.76,111.74,111.69,112.22,112.27,111.79,111.48,111.57,111.26,111.44,111.77,111.68,111.72,112.68,111.06
2010,111.60,111.64,111.58,111.23,111.09,111.01,110.89,110.86,111.13,111.50,111.42,111.69,111.30,111.92,110.81
2011,111.71,111.71,111.55,111.85,112.11,111.62,111.41,111.12,110.98,111.09,111.42,111.59,111.51,112.50,110.89
2012,111.67,111.63,111.89,111.81,111.45,111.18,110.93,110.94,111.01,111.37,111.87,111.62,111.45,112.56,110.88
2013,111.66,111.75,111.60,111.98,112.57,112.01,111.20,111.16,111.22,111.37,111.98,111.65,111.68,112.78,110.97
2014,111.65,111.68,111.40,111.69,112.53,111.69,111.33,111.21,111.57,111.93,112.00,111.82,111.71,112.90,111.09
2015,111.83,111.77,111.53,111.77,111.92,111.56,111.12,111.06,111.08,111.02,111.40,111.88,111.49,112.44,110.95
2016,111.96,111.83,112.01,112.21,111.94,111.57,111.12,111.08,111.05,111.07,111.13,111.30,111.52,112.47,111.00
2017,111.49,111.61,111.76,112.22,112.56,111.91,111.54,111.34,111.43,111.23,111.46,111.67,111.68,113.03,111.16
2018,111.69,111.66,111.45,111.28,112.29,111.65,111.08,111.14,111.48,111.91,111.84,111.63,111.59,112.56,110.95
2019,111.67,111.73,111.51,112.01,113.37,112.29,111.34,111.04,110.98,111.08,111.51,111.50,111.67,113.69,110.87
2020,111.57,111.63,111.48,112.16,111.89,111.60,111.33,111.25,111.35,111.66,111.86,111.65,111.62,112.41,111.12
2021,111.72,111.72,111.63,111.45,111.29,111.03,111.31,111.17,111.09,111.48,111.36,111.46,111.39,111.98,110.83
2022,111.66,111.60,111.53,112.14,112.15,112.00,111.33,111.18,111.22,111.45,111.50,111.57,111.61,112.50,111.05
2023,111.70,111.70,111.50,112.10,112.46,111.42,111.18,111.20,111.33,111.73,111.94,111.56,111.65,113.29,111.04
2024,111.68,111.71,111.66,112.20,111.79,111.37,111.43,111.27,111.41,111.45,111.86,111.59,111.62,112.65,111.20
2025,111.79,111.76,111.84,112.12,112.48,111.60,111.62,111.21,111.03,111.02,111.09,111.10,111.55,112.87,110.90
