year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
1991,41.66,41.65,41.65,41.90,41.43,41.26,41.22,41.20,41.21,41.25,41.29,41.44,41.43,42.44,41.14
1992,41.47,41.49,41.46,41.68,41.54,41.26,41.26,41.24,41.32,41.38,41.59,41.52,41.43,41.93,41.20
1993,41.56,41.48,41.38,41.74,41.33,41.36,41.23,41.22,41.22,41.39,41.48,41.46,41.40,42.05,41.16
1994,41.41,41.52,41.49,41.45,41.53,41.45,41.45,41.35,41.25,41.23,41.32,41.36,41.40,41.85,41.04
1995,41.67,41.81,41.72,41.30,41.48,41.46,41.21,41.20,41.16,41.18,41.33,41.43,41.41,42.21,41.06
1996,41.56,41.64,41.54,41.54,41.74,41.40,41.31,41.27,41.22,41.24,41.29,41.34,41.42,42.20,41.13
1997,41.45,41.58,41.64,41.66,42.06,41.39,41.28,41.21,41.21,41.22,41.27,41.29,41.44,42.50,41.11
1998,41.38,41.40,41.50,41.90,41.26,41.22,41.22,41.17,41.16,41.16,41.16,41.23,41.31,42.74,41.05
1999,41.38,41.49,41.49,41.46,41.25,41.29,41.26,41.19,41.19,41.32,41.48,41.61,41.37,41.94,41.09
2000,41.49,41.48,41.30,41.47,41.57,41.35,41.29,41.27,41.23,41.19,41.23,41.23,41.34,41.87,40.81
2001,41.30,41.39,41.36,41.41,41.35,41.29,41.20,41.17,41.20,41.34,41.49,41.56,41.34,41.67,41.13
2002,41.59,41.49,41.53,41.63,41.78,41.64,41.27,41.15,41.14,41.16,41.16,41.17,41.39,42.16,41.04
2003,41.17,41.18,41.32,41.47,41.33,41.32,41.21,41.25,41.17,41.30,41.68,41.92,41.36,42.21,41.05
2004,41.87,41.67,41.65,41.65,41.84,41.44,41.30,41.13,41.15,41.12,41.10,41.15,41.42,42.17,40.96
2005,41.35,41.29,41.17,41.76,41.44,41.26,41.20,41.17,41.10,41.20,41.23,41.42,41.29,41.97,41.02
2006,41.63,41.73,41.67,41.76,41.53,41.32,41.28,41.27,41.24,41.40,41.68,41.69,41.52,42.09,41.20
2007,41.76,41.71,41.66,41.52,41.33,41.42,41.27,41.18,41.16,41.16,41.16,41.27,41.38,42.00,41.05
2008,41.62,41.69,41.69,42.20,41.75,41.48,41.54,41.50,41.30,41.25,41.32,41.48,41.57,42.57,41.12
2009,41.65,41.65,41.72,41.84,41.77,41.46,41.41,41.38,41.22,41.24,41.37,41.34,41.50,42.30,41.12
2010,41.39,41.44,41.46,41.28,41.21,41.20,41.17,41.16,41.24,41.35,41.37,41.74,41.33,42.01,40.93
2011,41.57,41.51,41.66,41.58,41.75,41.42,41.30,41.21,41.20,41.19,41.20,41.32,41.41,42.09,41.02
2012,41.42,41.47,41.66,41.46,41.37,41.24,41.19,41.17,41.18,41.26,41.37,41.44,41.35,41.89,41.09
2013,41.52,41.64,41.58,41.80,41.98,41.65,41.27,41.20,41.21,41.29,41.56,41.48,41.51,42.24,41.16
2014,41.56,41.56,41.35,41.82,41.98,41.46,41.27,41.25,41.31,41.45,41.45,41.48,41.50,42.22,41.19
2015,41.71,41.55,41.42,41.54,41.44,41.33,41.20,41.20,41.22,41.19,41.28,41.47,41.38,41.90,41.12
2016,41.94,42.06,42.07,41.99,41.62,41.35,41.21,41.19,41.18,41.18,41.20,41.31,41.52,42.63,41.00
2017,41.44,41.52,41.78,42.28,42.62,41.62,41.47,41.28,41.29,41.25,41.45,41.53,41.63,43.69,41.18
2018,41.69,41.66,41.50,41.39,41.89,41.43,41.24,41.21,41.32,41.40,41.43,41.46,41.47,42.31,41.09
2019,41.52,41.65,41.57,42.32,43.13,41.75,41.23,41.14,41.14,41.03,41.28,41.34,41.59,43.66,40.85
2020,41.44,41.42,41.63,41.83,41.48,41.33,41.21,41.25,41.29,41.39,41.44,41.49,41.43,42.22,41.14
2021,41.82,41.63,41.56,41.30,41.19,41.16,41.25,41.19,41.22,41.35,41.29,41.43,41.37,41.97,41.09
2022,41.47,41.45,41.64,41.75,41.74,41.74,41.26,41.22,41.19,41.25,41.23,41.38,41.46,42.11,41.11
2023,41.76,41.73,41.53,42.05,42.13,41.25,41.24,41.26,41.22,41.19,41.22,41.41,41.50,43.19,41.01
2024,41.70,41.59,41.46,41.49,41.31,41.38,41.34,41.29,41.29,41.17,41.09,41.36,41.37,41.89,40.97
2025,41.78,41.65,41.80,41.69,41.87,41.31,41.36,41.19,41.17,41.15,41.17,41.18,41.44,42.31,40.96
