year,reservoir_id,level_m,pct_of_band,capacity_mcm,used_storage_mcm,peak_britannia_m
1990,bark_lake,308.15,38.67,374,144.6,59.252
1990,baskatong,210.65,19.63,3049,598.4,59.252
1990,cabonga,359.24,65.25,1565,1021.2,59.252
1990,des_joachims,149.68,9.33,229,21.4,59.252
1990,dozois,338.49,18.47,1863,344.1,59.252
1990,kiamika,265.91,55.44,379,210.1,59.252
1990,kipawa,267.59,6.09,673,41.0,59.252
1990,lady_evelyn,286.12,33.66,308,103.7,59.252
1990,mitchinamecus,376.95,50.5,554,279.7,59.252
1990,poisson_blanc,195.5,34.43,625,215.2,59.252
1990,quinze,260.89,26.03,1308,340.4,59.252
1990,rapide_7,307.84,28.17,,,59.252
1990,timiskaming,176.09,14.53,1217,176.9,59.252
1991,bark_lake,306.86,25.0,374,93.5,59.638
1991,baskatong,210.04,15.7,3049,478.7,59.638
1991,cabonga,359.67,74.36,1565,1163.8,59.638
1991,des_joachims,149.7,10.0,229,22.9,59.638
1991,dozois,338.1,14.21,1863,264.7,59.638
1991,kiamika,265.37,50.38,379,190.9,59.638
1991,kipawa,267.65,8.7,673,58.5,59.638
1991,lady_evelyn,286.41,39.33,308,121.2,59.638
1991,mitchinamecus,376.92,50.27,554,278.5,59.638
1991,poisson_blanc,193.13,10.14,625,63.4,59.638
1991,quinze,260.83,24.38,1308,318.9,59.638
1991,rapide_7,308.1,40.38,,,59.638
1991,timiskaming,175.72,5.42,1217,65.9,59.638
1992,bark_lake,306.01,16.0,374,59.8,59.518
1992,baskatong,208.73,7.27,3049,221.7,59.518
1992,cabonga,358.9,58.05,1565,908.5,59.518
1992,des_joachims,149.54,4.67,229,10.7,59.518
1992,dozois,338.12,14.43,1863,268.8,59.518
1992,kiamika,264.35,40.81,379,154.7,59.518
1992,kipawa,267.59,6.09,673,41.0,59.518
1992,lady_evelyn,285.83,27.98,308,86.2,59.518
1992,mitchinamecus,376.13,44.24,554,245.1,59.518
1992,poisson_blanc,193.53,14.24,625,89.0,59.518
1992,quinze,260.34,10.96,1308,143.3,59.518
1992,rapide_7,307.45,9.86,,,59.518
1992,timiskaming,175.33,-4.19,1217,-51.0,59.518
1993,bark_lake,305.78,13.56,374,50.7,58.753
1993,baskatong,209.53,12.42,3049,378.7,58.753
1993,cabonga,359.27,65.89,1565,1031.2,58.753
1993,des_joachims,150.01,20.33,229,46.6,58.753
1993,dozois,337.68,9.62,1863,179.2,58.753
1993,kiamika,264.3,40.34,379,152.9,58.753
1993,kipawa,267.71,11.3,673,76.1,58.753
1993,lady_evelyn,285.83,27.98,308,86.2,58.753
1993,mitchinamecus,375.87,42.26,554,234.1,58.753
1993,poisson_blanc,192.56,4.3,625,26.9,58.753
1993,quinze,260.64,19.18,1308,250.8,58.753
1993,rapide_7,307.46,10.33,,,58.753
1993,timiskaming,175.64,3.45,1217,42.0,58.753
1994,bark_lake,305.37,9.22,374,34.5,58.934
1994,baskatong,209.1,9.65,3049,294.3,58.934
1994,cabonga,359.75,76.06,1565,1190.3,58.934
1994,des_joachims,149.58,6.0,229,13.7,58.934
1994,dozois,337.76,10.49,1863,195.5,58.934
1994,kiamika,264.5,42.21,379,160.0,58.934
1994,kipawa,267.53,3.48,673,23.4,58.934
1994,lady_evelyn,285.37,18.98,308,58.5,58.934
1994,mitchinamecus,376.04,43.55,554,241.3,58.934
1994,poisson_blanc,192.5,3.69,625,23.1,58.934
1994,quinze,260.51,15.62,1308,204.3,58.934
1994,rapide_7,307.49,11.74,,,58.934
1994,timiskaming,175.54,0.99,1217,12.0,58.934
1995,bark_lake,309.05,48.2,374,180.3,59.223
1995,baskatong,213.37,37.13,3049,1132.1,59.223
1995,cabonga,359.64,73.73,1565,1153.9,59.223
1995,des_joachims,150.55,38.33,229,87.8,59.223
1995,dozois,338.53,18.91,1863,352.2,59.223
1995,kiamika,266.87,64.45,379,244.3,59.223
1995,kipawa,267.6,6.52,673,43.9,59.223
1995,lady_evelyn,286.41,39.33,308,121.2,59.223
1995,mitchinamecus,378.33,61.02,554,338.1,59.223
1995,poisson_blanc,197.24,52.25,625,326.6,59.223
1995,quinze,260.92,26.85,1308,351.2,59.223
1995,rapide_7,307.86,29.11,,,59.223
1995,timiskaming,176.11,15.02,1217,182.8,59.223
1996,bark_lake,305.7,12.71,374,47.5,59.823
1996,baskatong,210.82,20.72,3049,631.8,59.823
1996,cabonga,359.09,62.08,1565,971.5,59.823
1996,des_joachims,149.95,18.33,229,42.0,59.823
1996,dozois,337.96,12.68,1863,236.2,59.823
1996,kiamika,264.59,43.06,379,163.2,59.823
1996,kipawa,267.65,8.7,673,58.5,59.823
1996,lady_evelyn,285.45,20.55,308,63.3,59.823
1996,mitchinamecus,376.67,48.36,554,267.9,59.823
1996,poisson_blanc,194.01,19.16,625,119.7,59.823
1996,quinze,260.71,21.1,1308,275.9,59.823
1996,rapide_7,307.76,24.41,,,59.823
1996,timiskaming,175.67,4.19,1217,51.0,59.823
1997,bark_lake,305.62,11.86,374,44.4,
