date,reservoir_id,level_m,median_m,hist_high_m,hist_high_year,hist_low_m,hist_low_year
1990-01-01,bark_lake,313.24,312.99,313.86,2009,304.78,1942
1990-01-01,baskatong,219.65,219.89,221.92,1980,216.19,1984
1990-01-01,cabonga,358.91,359.5,360.89,1937,357.07,1999
1990-01-01,des_joachims,152.29,152.11,152.37,1976,151.03,1951
1990-01-01,dozois,342.31,342.41,345.71,1967,339.02,1963
1990-01-01,kiamika,268.62,267.48,269.96,1958,261.37,1956
1990-01-01,kipawa,268.95,268.94,269.82,1966,267.8,1993
1990-01-01,lady_evelyn,287.96,288.51,289.5,1952,287.58,1988
1990-01-01,mitchinamecus,379.24,379.04,382.83,1958,371.64,1954
1990-01-01,poisson_blanc,199.89,199.61,201.12,1991,195.17,1963
1990-01-01,quinze,262.46,263.04,263.32,2016,260.31,1963
1990-01-01,rapide_7,309.0,309.12,309.33,2008,308.89,1998
1990-01-01,timiskaming,178.78,178.87,179.21,1999,178.31,1996
1990-01-02,bark_lake,313.23,312.95,313.83,2009,304.84,1942
1990-01-02,baskatong,219.55,219.81,221.85,1980,216.14,1984
1990-01-02,cabonga,358.91,359.48,360.88,1937,357.07,1999
1990-01-02,des_joachims,152.32,152.13,152.34,1964,151.24,1951
1990-01-02,dozois,342.25,342.34,345.67,1967,338.98,1963
1990-01-02,kiamika,268.62,267.48,269.94,1958,261.31,1956
1990-01-02,kipawa,268.93,268.92,269.83,1966,267.78,1993
1990-01-02,lady_evelyn,287.91,288.48,289.47,1952,287.56,1988
1990-01-02,mitchinamecus,379.24,379.02,382.83,1958,371.58,1954
1990-01-02,poisson_blanc,199.89,199.6,201.09,1991,195.11,1963
1990-01-02,quinze,262.44,263.02,263.34,1958,260.31,1963
1990-01-02,rapide_7,309.0,309.12,309.34,2008,308.91,1998
1990-01-02,timiskaming,178.74,178.86,179.2,1999,178.26,1996
1990-01-03,bark_lake,313.15,312.89,313.8,1987,304.88,1942
1990-01-03,baskatong,219.46,219.73,221.77,1980,216.09,1984
1990-01-03,cabonga,358.91,359.46,360.88,1937,357.09,1999
1990-01-03,des_joachims,152.32,152.12,152.32,1990,151.18,1951
1990-01-03,dozois,342.18,342.26,345.63,1967,338.92,1963
