year,reservoir_id,date,level_m,low_limit_m,high_limit_m,pct_of_band,capacity_mcm,used_storage_mcm,peak_britannia_m
2020,bark_lake,2020-04-01,306.96,304.5,313.94,26.06,374,97.5,59.586
2020,baskatong,2020-04-01,209.03,207.6,223.14,9.2,3049,280.6,59.586
2020,cabonga,2020-04-01,359.31,356.16,360.88,66.74,1565,1044.4,59.586
2020,des_joachims,2020-04-01,149.54,149.4,152.4,4.67,229,10.7,59.586
2020,dozois,2020-04-01,338.45,336.8,345.95,18.03,1863,336.0,59.586
2020,kiamika,2020-04-01,265.4,260.0,270.66,50.66,379,192.0,59.586
2020,kipawa,2020-04-01,267.63,267.45,269.75,7.83,673,52.7,59.586
2020,lady_evelyn,2020-04-01,286.21,284.4,289.51,35.42,308,109.1,59.586
2020,mitchinamecus,2020-04-01,376.96,370.33,383.44,50.57,554,280.2,59.586
2020,poisson_blanc,2020-04-01,194.08,192.14,201.9,19.88,625,124.2,59.586
2020,quinze,2020-04-01,260.83,259.94,263.59,24.38,1308,318.9,59.586
2020,timiskaming,2020-04-01,175.87,175.5,179.56,9.11,1217,110.9,59.586
2023,bark_lake,2023-03-30,305.19,304.5,313.94,7.31,374,27.3,60.342
2023,baskatong,2023-04-01,208.83,207.6,223.14,7.92,3049,241.3,60.342
2023,cabonga,2023-04-01,359.41,356.16,360.88,68.86,1565,1077.6,60.342
2023,des_joachims,2023-04-01,149.62,149.4,152.4,7.33,229,16.8,60.342
2023,dozois,2023-04-01,338.61,336.8,345.95,19.78,1863,368.5,60.342
2023,kiamika,2023-04-01,265.51,260.0,270.66,51.69,379,195.9,60.342
2023,kipawa,2023-04-01,267.52,267.45,269.75,3.04,673,20.5,60.342
2023,lady_evelyn,2023-03-30,287.07,284.4,289.51,52.25,308,160.9,60.342
2023,mitchinamecus,2023-04-01,376.78,370.33,383.44,49.2,554,272.6,60.342
2023,poisson_blanc,2023-04-01,193.07,192.14,201.9,9.53,625,59.6,60.342
2023,quinze,2023-04-01,260.8,259.94,263.59,23.56,1308,308.2,60.342
2023,rapide_7,2023-04-01,307.97,307.24,309.37,34.27,,,60.342
2023,timiskaming,2023-04-01,175.64,175.5,179.56,3.45,1217,42.0,60.342
2024,bark_lake,2024-03-31,310.1,304.5,313.94,59.32,374,221.9,59.42
2024,baskatong,2024-03-31,214.33,207.6,223.14,43.31,3049,1320.4,59.42
2024,cabonga,2024-03-31,359.45,356.16,360.88,69.7,1565,1090.9,59.42
2024,des_joachims,2024-03-31,151.42,149.4,152.4,67.33,229,154.2,59.42
2024,dozois,2024-03-31,340.04,336.8,345.95,35.41,1863,659.7,59.42
2024,kiamika,2024-03-31,265.56,260.0,270.66,52.16,379,197.7,59.42
2024,kipawa,2024-03-31,268.08,267.45,269.75,27.39,673,184.3,59.42
2024,lady_evelyn,2024-03-31,287.44,284.4,289.51,59.49,308,183.2,59.42
2024,mitchinamecus,2024-03-31,377.34,370.33,383.44,53.47,554,296.2,59.42
2024,poisson_blanc,2024-03-31,197.02,192.14,201.9,50.0,625,312.5,59.42
2024,quinze,2024-03-31,261.62,259.94,263.59,46.03,1308,602.0,59.42
2024,rapide_7,2024-03-31,308.26,307.24,309.37,47.89,,,59.42
2024,timiskaming,2024-03-31,177.34,175.5,179.56,45.32,1217,551.5,59.42
2025,bark_lake,2025-04-01,308.96,304.5,313.94,47.25,374,176.7,
2025,baskatong,2025-04-01,211.68,207.6,223.14,26.25,3049,800.5,
2025,cabonga,2025-04-01,359.81,356.16,360.88,77.33,1565,1210.2,
2025,des_joachims,2025-04-01,149.44,149.4,152.4,1.33,229,3.1,
2025,dozois,2025-04-01,339.97,336.8,345.95,34.64,1863,645.4,
2025,kiamika,2025-04-01,265.48,260.0,270.66,51.41,379,194.8,
2025,kipawa,2025-04-01,267.74,267.45,269.75,12.61,673,84.9,
2025,lady_evelyn,2025-04-01,286.87,284.4,289.51,48.34,308,148.9,
2025,mitchinamecus,2025-04-01,378.6,370.33,383.44,63.08,554,349.5,
2025,poisson_blanc,2025-04-01,195.98,192.14,201.9,39.34,625,245.9,
2025,quinze,2025-04-01,261.21,259.94,263.59,34.79,1308,455.1,
2025,rapide_7,2025-04-01,308.54,307.24,309.37,61.03,,,
2025,timiskaming,2025-04-01,176.35,175.5,179.56,20.94,1217,254.8,
