date,reservoir_id,level_m,flow_cms,agency,source_snapshot
2020-03-28,bark_lake,306.24,,OPG,20200404052641
2020-03-28,baskatong,208.74,,HQ,20200404052641
2020-03-28,cabonga,359.25,,HQ,20200404052641
2020-03-28,des_joachims,149.48,,OPG,20200404052641
2020-03-28,dozois,338.12,,HQ,20200404052641
2020-03-28,kiamika,265.28,,MELCC,20200404052641
2020-03-28,kipawa,267.6,,MELCC,20200404052641
2020-03-28,lady_evelyn,286.12,,OPG,20200404052641
2020-03-28,mitchinamecus,377.0,,MELCC,20200404052641
2020-03-28,poisson_blanc,193.31,,MELCC,20200404052641
2020-03-28,quinze,260.74,,MELCC,20200404052641
2020-03-28,timiskaming,175.68,,WSC,20200404052641
2020-03-28,timiskaming_haileybury,175.68,,WSC,20200404052641
2020-03-29,bark_lake,306.35,,OPG,20200404052641
2020-03-29,baskatong,208.74,,HQ,20200404052641
2020-03-29,cabonga,359.27,,HQ,20200404052641
2020-03-29,des_joachims,149.53,,OPG,20200404052641
2020-03-29,dozois,338.2,,HQ,20200404052641
2020-03-29,kiamika,265.3,,MELCC,20200404052641
2020-03-29,kipawa,267.61,,MELCC,20200404052641
2020-03-29,lady_evelyn,286.16,,OPG,20200404052641
2020-03-29,mitchinamecus,377.0,,MELCC,20200404052641
2020-03-29,poisson_blanc,193.36,,MELCC,20200404052641
2020-03-29,quinze,260.78,,MELCC,20200404052641
2020-03-29,timiskaming,175.69,,WSC,20200404052641
2020-03-29,timiskaming_haileybury,175.7,,WSC,20200404052641
2020-03-30,bark_lake,306.5,,OPG,20200404052641
2020-03-30,baskatong,208.81,,HQ,20200404052641
2020-03-30,cabonga,359.29,,HQ,20200404052641
2020-03-30,des_joachims,149.56,,OPG,20200404052641
2020-03-30,dozois,338.28,,HQ,20200404052641
2020-03-30,kiamika,265.33,,MELCC,20200404052641
2020-03-30,kipawa,267.62,,MELCC,20200404052641
2020-03-30,lady_evelyn,286.18,,OPG,20200404052641
2020-03-30,mitchinamecus,376.99,,MELCC,20200404052641
2020-03-30,poisson_blanc,193.48,,MELCC,20200404052641
2020-03-30,quinze,260.8,,MELCC,20200404052641
2020-03-30,timiskaming,175.76,,WSC,20200404052641
2020-03-30,timiskaming_haileybury,175.75,,WSC,20200404052641
2020-03-31,bark_lake,306.73,,OPG,20200404052641
2020-03-31,baskatong,208.91,,HQ,20200404052641
2020-03-31,cabonga,359.3,,HQ,20200404052641
2020-03-31,des_joachims,149.57,,OPG,20200404052641
2020-03-31,dozois,338.37,,HQ,20200404052641
2020-03-31,kiamika,265.36,,MELCC,20200404052641
2020-03-31,kipawa,267.62,,MELCC,20200404052641
2020-03-31,lady_evelyn,286.19,,OPG,20200404052641
2020-03-31,mitchinamecus,376.98,,MELCC,20200404052641
2020-03-31,poisson_blanc,193.8,,MELCC,20200404052641
2020-03-31,quinze,260.81,,MELCC,20200404052641
2020-03-31,timiskaming,175.81,,WSC,20200404052641
2020-03-31,timiskaming_haileybury,175.82,,WSC,20200404052641
2020-04-01,bark_lake,306.96,,OPG,20200404052641
2020-04-01,baskatong,209.03,,HQ,20200404052641
2020-04-01,cabonga,359.31,,HQ,20200404052641
2020-04-01,des_joachims,149.54,,OPG,20200404052641
2020-04-01,dozois,338.45,,HQ,20200404052641
2020-04-01,kiamika,265.4,,MELCC,20200404052641
2020-04-01,kipawa,267.63,,MELCC,20200404052641
2020-04-01,lady_evelyn,286.21,,OPG,20200404052641
2020-04-01,mitchinamecus,376.96,,MELCC,20200404052641
2020-04-01,poisson_blanc,194.08,,MELCC,20200404052641
2020-04-01,quinze,260.83,,MELCC,20200404052641
2020-04-01,timiskaming,175.87,,WSC,20200404052641
2020-04-01,timiskaming_haileybury,175.9,,WSC,20200404052641
2020-04-02,bark_lake,307.21,,OPG,20200404052641
2020-04-02,baskatong,209.17,,HQ,20200404052641
2020-04-02,cabonga,359.33,,HQ,20200404052641
2020-04-02,des_joachims,149.51,,OPG,20200404052641
2020-04-02,dozois,338.54,,HQ,20200404052641
2020-04-02,kiamika,265.43,,MELCC,20200404052641
2020-04-02,kipawa,267.64,,MELCC,20200404052641
2020-04-02,lady_evelyn,286.25,,OPG,20200404052641
2020-04-02,mitchinamecus,376.95,,MELCC,20200404052641
2020-04-02,poisson_blanc,194.22,,MELCC,20200404052641
2020-04-02,quinze,260.85,,MELCC,20200404052641
2020-04-02,timiskaming,175.95,,WSC,20200404052641
2020-04-02,timiskaming_haileybury,175.97,,WSC,20200404052641
2020-04-03,bark_lake,307.29,,OPG,20200404052641
2020-04-03,baskatong,209.23,,HQ,20200404052641
2020-04-03,cabonga,359.33,,HQ,20200404052641
2020-04-03,des_joachims,149.52,,OPG,20200404052641
2020-04-03,dozois,338.57,,HQ,20200404052641
2020-04-03,kiamika,265.44,,MELCC,20200404052641
2020-04-03,kipawa,267.65,,MELCC,20200404052641
2020-04-03,lady_evelyn,286.28,,OPG,20200404052641
2020-04-03,mitchinamecus,376.95,,MELCC,20200404052641
2020-04-03,poisson_blanc,194.27,,MELCC,20200404052641
2020-04-03,quinze,260.86,,MELCC,20200404052641
2020-04-03,timiskaming,175.96,,WSC,20200404052641
2020-04-03,timiskaming_haileybury,175.99,,WSC,20200404052641
2020-06-22,bark_lake,313.81,,OPG,20200629083441
2020-06-22,baskatong,221.53,,HQ,20200629083441
2020-06-22,cabonga,360.31,,HQ,20200629083441
2020-06-22,des_joachims,152.02,,OPG,20200629083441
2020-06-22,dozois,345.51,,HQ,20200629083441
2020-06-22,kiamika,269.46,,MELCC,20200629083441
2020-06-22,kipawa,269.53,,MELCC,20200629083441
2020-06-22,lady_evelyn,289.08,,OPG,20200629083441
2020-06-22,mitchinamecus,381.55,,MELCC,20200629083441
2020-06-22,poisson_blanc,201.07,,MELCC,20200629083441
2020-06-22,quinze,262.95,,MELCC,20200629083441
2020-06-22,timiskaming,179.28,,WSC,20200629083441
2020-06-22,timiskaming_haileybury,179.27,,WSC,20200629083441
2020-06-23,bark_lake,313.82,,OPG,20200629083441
2020-06-23,baskatong,221.53,,HQ,20200629083441
2020-06-23,cabonga,360.31,,HQ,20200629083441
2020-06-23,des_joachims,152.2,,OPG,20200629083441
2020-06-23,dozois,345.5,,HQ,20200629083441
2020-06-23,kiamika,269.45,,MELCC,20200629083441
2020-06-23,kipawa,269.52,,MELCC,20200629083441
2020-06-23,lady_evelyn,289.07,,OPG,20200629083441
2020-06-23,mitchinamecus,381.55,,MELCC,20200629083441
2020-06-23,poisson_blanc,201.06,,MELCC,20200629083441
2020-06-23,quinze,262.94,,MELCC,20200629083441
2020-06-23,timiskaming,179.28,,WSC,20200629083441
2020-06-23,timiskaming_haileybury,179.27,,WSC,20200629083441
2020-06-24,baskatong,221.51,,HQ,20200629083441
2020-06-24,cabonga,360.32,,HQ,20200629083441
2020-06-24,des_joachims,152.18,,OPG,20200629083441
2020-06-24,dozois,345.5,,HQ,20200629083441
2020-06-24,kiamika,269.42,,MELCC,20200629083441
2020-06-24,kipawa,269.48,,MELCC,20200629083441
2020-06-24,mitchinamecus,381.52,,MELCC,20200629083441
2020-06-24,poisson_blanc,201.04,,MELCC,20200629083441
2020-06-24,quinze,262.94,,MELCC,20200629083441
2020-06-24,timiskaming,179.29,,WSC,20200629083441
2020-06-24,timiskaming_haileybury,179.26,,WSC,20200629083441
2020-06-25,baskatong,221.5,,HQ,20200629083441
2020-06-25,cabonga,360.32,,HQ,20200629083441
2020-06-25,des_joachims,152.19,,OPG,20200629083441
2020-06-25,dozois,345.47,,HQ,20200629083441
2020-06-25,kiamika,269.39,,MELCC,20200629083441
2020-06-25,kipawa,269.47,,MELCC,20200629083441
2020-06-25,mitchinamecus,381.5,,MELCC,20200629083441
2020-06-25,poisson_blanc,201.02,,MELCC,20200629083441
2020-06-25,quinze,262.92,,MELCC,20200629083441
2020-06-25,timiskaming,179.29,,WSC,20200629083441
2020-06-25,timiskaming_haileybury,179.27,,WSC,20200629083441
2020-06-26,baskatong,221.51,,HQ,20200629083441
2020-06-26,cabonga,360.31,,HQ,20200629083441
2020-06-26,des_joachims,152.11,,OPG,20200629083441
2020-06-26,dozois,345.46,,HQ,20200629083441
2020-06-26,kiamika,269.36,,MELCC,20200629083441
2020-06-26,kipawa,269.46,,MELCC,20200629083441
2020-06-26,mitchinamecus,381.49,,MELCC,20200629083441
2020-06-26,poisson_blanc,201.01,,MELCC,20200629083441
2020-06-26,quinze,262.93,,MELCC,20200629083441
2020-06-26,timiskaming,179.28,,WSC,20200629083441
2020-06-26,timiskaming_haileybury,179.28,,WSC,20200629083441
2020-06-27,baskatong,221.52,,HQ,20200629083441
2020-06-27,cabonga,360.3,,HQ,20200629083441
2020-06-27,des_joachims,152.1,,OPG,20200629083441
2020-06-27,dozois,345.46,,HQ,20200629083441
2020-06-27,kiamika,269.34,,MELCC,20200629083441
2020-06-27,kipawa,269.46,,MELCC,20200629083441
2020-06-27,mitchinamecus,381.48,,MELCC,20200629083441
2020-06-27,poisson_blanc,201.0,,MELCC,20200629083441
2020-06-27,quinze,262.94,,MELCC,20200629083441
2020-06-27,timiskaming,179.3,,WSC,20200629083441
2020-06-27,timiskaming_haileybury,179.29,,WSC,20200629083441
2020-06-28,baskatong,221.52,,HQ,20200629083441
2020-06-28,cabonga,360.3,,HQ,20200629083441
2020-06-28,des_joachims,152.16,,OPG,20200629083441
2020-06-28,dozois,345.44,,HQ,20200629083441
2020-06-28,kiamika,269.34,,MELCC,20200629083441
2020-06-28,kipawa,269.46,,MELCC,20200629083441
2020-06-28,mitchinamecus,381.47,,MELCC,20200629083441
2020-06-28,poisson_blanc,200.99,,MELCC,20200629083441
2020-06-28,quinze,262.94,,MELCC,20200629083441
2020-06-28,timiskaming,179.33,,WSC,20200629083441
2020-06-28,timiskaming_haileybury,179.29,,WSC,20200629083441
2020-09-19,bark_lake,313.76,,OPG,20200926142700
2020-09-19,baskatong,221.5,,HQ,20200926142700
2020-09-19,cabonga,360.25,,HQ,20200926142700
2020-09-19,des_joachims,152.2,,OPG,20200926142700
2020-09-19,dozois,344.25,,HQ,20200926142700
2020-09-19,kiamika,268.2,,MELCC,20200926142700
