date,flow_cms,flow_symbol,level_m,level_symbol
1985-06-01,371.000,,,
1985-06-02,364.000,,,
1985-06-03,326.000,,,
1985-06-04,284.000,,,
1985-06-05,291.000,,,
1985-06-06,289.000,,,
1985-06-07,286.000,,,
1985-06-08,290.000,,,
1985-06-09,287.000,,,
1985-06-10,288.000,,,
1985-06-11,284.000,,,
1985-06-12,287.000,,,
1985-06-13,289.000,,,
1985-06-14,288.000,,,
1985-06-15,288.000,,,
1985-06-16,288.000,,,
1985-06-17,287.000,,,
1985-06-18,283.000,,,
1985-06-19,283.000,,,
1985-06-20,271.000,,,
1985-06-21,291.000,,,
1985-06-22,280.000,,,
1985-06-23,272.000,,,
1985-06-24,276.000,,,
1985-06-25,276.000,,,
1985-06-26,272.000,,,
1985-06-27,179.000,,,
1985-06-28,291.000,,,
1985-06-29,290.000,,,
1985-06-30,290.000,,,
1985-07-01,287.000,,,
1985-07-02,284.000,,,
1985-07-03,291.000,,,
1985-07-04,291.000,,,
1985-07-05,290.000,,,
1985-07-06,291.000,,,
1985-07-07,291.000,,,
1985-07-08,290.000,,,
1985-07-09,289.000,,,
1985-07-10,289.000,,,
1985-07-11,291.000,,,
1985-07-12,287.000,,,
1985-07-13,285.000,,,
1985-07-14,283.000,,,
1985-07-15,283.000,,,
1985-07-16,289.000,,,
1985-07-17,289.000,,,
1985-07-18,288.000,,,
1985-07-19,288.000,,,
1985-07-20,285.000,,,
1985-07-21,283.000,,,
1985-07-22,286.000,,,
1985-07-23,287.000,,,
1985-07-24,286.000,,,
1985-07-25,284.000,,,
1985-07-26,278.000,,,
1985-07-27,280.000,,,
1985-07-28,282.000,,,
1985-07-29,258.000,,,
1985-07-30,266.000,,,
1985-07-31,263.000,,,
1985-08-01,260.000,,,
1985-08-02,262.000,,,
1985-08-03,248.000,,,
1985-08-04,243.000,,,
1985-08-05,225.000,,,
1985-08-06,169.000,,,
1985-08-07,276.000,,,
1985-08-08,271.000,,,
1985-08-09,274.000,,,
1985-08-10,275.000,,,
1985-08-11,274.000,,,
1985-08-12,214.000,,,
1985-08-13,108.000,,,
