date,flow_cms,flow_symbol,level_m,level_symbol
1915-04-01,326.000,,,
1915-04-02,326.000,,,
1915-04-03,326.000,,,
1915-04-04,326.000,,,
1915-04-05,348.000,,,
1915-04-06,371.000,,,
1915-04-07,396.000,,,
1915-04-08,422.000,,,
1915-04-09,447.000,,,
1915-04-10,498.000,,,
1915-04-11,575.000,,,
1915-04-12,626.000,,,
1915-04-13,736.000,,,
1915-04-14,858.000,,,
1915-04-15,991.000,,,
1915-04-16,1110.000,,,
1915-04-17,1150.000,,,
1915-04-18,1190.000,,,
1915-04-19,1230.000,,,
1915-04-20,1270.000,,,
1915-04-21,1310.000,,,
1915-04-22,1350.000,,,
1915-04-23,1310.000,,,
1915-04-24,1270.000,,,
1915-04-25,1230.000,,,
1915-04-26,1190.000,,,
1915-04-27,1150.000,,,
1915-04-28,1110.000,,,
1915-04-29,1110.000,,,
1915-04-30,1070.000,,,
1915-05-01,1070.000,,,
1915-05-02,1110.000,,,
1915-05-03,1110.000,,,
1915-05-04,1110.000,,,
1915-05-05,1110.000,,,
1915-05-06,1110.000,,,
1915-05-07,1110.000,,,
1915-05-08,1150.000,,,
1915-05-09,1150.000,,,
1915-05-10,1190.000,,,
1915-05-11,1230.000,,,
1915-05-12,1270.000,,,
1915-05-13,1270.000,,,
1915-05-14,1270.000,,,
1915-05-15,1270.000,,,
1915-05-16,1310.000,,,
1915-05-17,1380.000,,,
1915-05-18,1460.000,,,
1915-05-19,1550.000,,,
1915-05-20,1590.000,,,
1915-05-21,1630.000,,,
1915-05-22,1630.000,,,
1915-05-23,1630.000,,,
1915-05-24,1630.000,,,
1915-05-25,1630.000,,,
1915-05-26,1630.000,,,
1915-05-27,1630.000,,,
1915-05-28,1630.000,,,
1915-05-29,1630.000,,,
1915-05-30,1630.000,,,
1915-05-31,1590.000,,,
1915-06-01,1590.000,,,
1915-06-02,1590.000,,,
1915-06-03,1550.000,,,
1915-06-04,1460.000,,,
1915-06-05,1420.000,,,
1915-06-06,1380.000,,,
1915-06-07,1350.000,,,
1915-06-08,1310.000,,,
1915-06-09,1270.000,,,
1915-06-10,1270.000,,,
1915-06-11,1230.000,,,
1915-06-12,1270.000,,,
1915-06-13,1270.000,,,
1915-06-14,1350.000,,,
1915-06-15,1350.000,,,
1915-06-16,1350.000,,,
1915-06-17,1310.000,,,
1915-06-18,1270.000,,,
1915-06-19,1230.000,,,
1915-06-20,1230.000,,,
1915-06-21,1230.000,,,
1915-06-22,1230.000,,,
1915-06-23,1310.000,,,
1915-06-24,1420.000,,,
1915-06-25,1460.000,,,
1915-06-26,1460.000,,,
1915-06-27,1460.000,,,
1915-06-28,1420.000,,,
1915-06-29,1380.000,,,
1915-06-30,1350.000,,,
1915-07-01,1310.000,,,
1915-07-02,1270.000,,,
1915-07-03,1190.000,,,
1915-07-04,1190.000,,,
1915-07-05,1190.000,,,
1915-07-06,1150.000,,,
1915-07-07,1150.000,,,
1915-07-08,1150.000,,,
1915-07-09,1110.000,,,
1915-07-10,1070.000,,,
1915-07-11,1030.000,,,
1915-07-12,1030.000,,,
1915-07-13,1030.000,,,
1915-07-14,991.000,,,
1915-07-15,991.000,,,
1915-07-16,954.000,,,
1915-07-17,954.000,,,
1915-07-18,920.000,,,
1915-07-19,920.000,,,
1915-07-20,889.000,,,
1915-07-21,889.000,,,
1915-07-22,889.000,,,
1915-07-23,858.000,,,
1915-07-24,858.000,,,
1915-07-25,827.000,,,
1915-07-26,827.000,,,
1915-07-27,827.000,,,
1915-07-28,796.000,,,
1915-07-29,796.000,,,
1915-07-30,796.000,,,
1915-07-31,765.000,,,
1915-08-01,765.000,,,
1915-08-02,736.000,,,
1915-08-03,736.000,,,
1915-08-04,765.000,,,
1915-08-05,765.000,,,
1915-08-06,765.000,,,
1915-08-07,765.000,,,
1915-08-08,827.000,,,
1915-08-09,827.000,,,
1915-08-10,827.000,,,
1915-08-11,858.000,,,
1915-08-12,858.000,,,
1915-08-13,858.000,,,
1915-08-14,858.000,,,
1915-08-15,889.000,,,
1915-08-16,889.000,,,
1915-08-17,920.000,,,
1915-08-18,920.000,,,
1915-08-19,920.000,,,
1915-08-20,889.000,,,
1915-08-21,889.000,,,
1915-08-22,920.000,,,
1915-08-23,920.000,,,
1915-08-24,889.000,,,
1915-08-25,858.000,,,
1915-08-26,858.000,,,
1915-08-27,858.000,,,
1915-08-28,827.000,,,
1915-08-29,827.000,,,
1915-08-30,827.000,,,
1915-08-31,796.000,,,
1915-09-01,796.000,,,
1915-09-02,796.000,,,
1915-09-03,765.000,,,
1915-09-04,765.000,,,
1915-09-05,736.000,,,
1915-09-06,708.000,,,
1915-09-07,680.000,,,
1915-09-08,680.000,,,
1915-09-09,651.000,,,
1915-09-10,651.000,,,
1915-09-11,626.000,,,
1915-09-12,626.000,,,
1915-09-13,626.000,,,
1915-09-14,626.000,,,
1915-09-15,626.000,,,
1915-09-16,600.000,,,
1915-09-17,600.000,,,
1915-09-18,600.000,,,
1915-09-19,600.000,,,
1915-09-20,575.000,,,
1915-09-21,575.000,,,
1915-09-22,575.000,,,
1915-09-23,575.000,,,
1915-09-24,575.000,,,
1915-09-25,575.000,,,
1915-09-26,575.000,,,
1915-09-27,575.000,,,
1915-09-28,600.000,,,
1915-09-29,600.000,,,
1915-09-30,626.000,,,
1915-10-01,626.000,,,
1915-10-02,626.000,,,
1915-10-03,651.000,,,
1915-10-04,680.000,,,
1915-10-05,680.000,,,
1915-10-06,680.000,,,
1915-10-07,708.000,,,
1915-10-08,708.000,,,
1915-10-09,708.000,,,
1915-10-10,708.000,,,
1915-10-11,736.000,,,
1915-10-12,736.000,,,
1915-10-13,765.000,,,
1915-10-14,765.000,,,
1915-10-15,796.000,,,
1915-10-16,796.000,,,
1915-10-17,765.000,,,
1915-10-18,796.000,,,
1915-10-19,765.000,,,
1915-10-20,765.000,,,
1915-10-21,796.000,,,
1915-10-22,796.000,,,
1915-10-23,796.000,,,
1915-10-24,765.000,,,
1915-10-25,736.000,,,
1915-10-26,736.000,,,
1915-10-27,736.000,,,
1915-10-28,736.000,,,
1915-10-29,736.000,,,
1915-10-30,736.000,,,
1915-10-31,736.000,,,
1915-11-01,736.000,,,
1915-11-02,736.000,,,
1915-11-03,708.000,,,
1915-11-04,708.000,,,
1915-11-05,708.000,,,
1915-11-06,680.000,,,
1915-11-07,680.000,,,
1915-11-08,680.000,,,
1915-11-09,680.000,,,
1915-11-10,680.000,,,
1915-11-11,680.000,,,
1915-11-12,680.000,,,
1915-11-13,680.000,,,
1915-11-14,680.000,,,
1915-11-15,680.000,,,
1915-11-16,680.000,,,
1915-11-17,680.000,,,
1915-11-18,708.000,,,
1915-11-19,708.000,,,
1915-11-20,708.000,,,
1915-11-21,708.000,,,
1915-11-22,708.000,,,
1915-11-23,708.000,,,
1915-11-24,708.000,,,
1915-11-25,708.000,,,
1915-11-26,708.000,,,
1915-11-27,708.000,,,
1915-11-28,708.000,,,
1915-11-29,708.000,,,
1915-11-30,708.000,,,
1915-12-01,736.000,,,
1915-12-02,736.000,,,
1915-12-03,708.000,,,
1915-12-04,708.000,,,
1915-12-05,708.000,,,
1915-12-06,680.000,,,
1915-12-07,680.000,,,
1915-12-08,680.000,,,
1915-12-09,680.000,,,
1915-12-10,680.000,,,
1915-12-11,680.000,,,
1915-12-12,680.000,,,
1915-12-13,680.000,,,
1915-12-14,680.000,,,
1915-12-15,680.000,,,
1915-12-16,680.000,,,
1915-12-17,680.000,,,
1915-12-18,708.000,,,
1915-12-19,708.000,,,
1915-12-20,708.000,,,
1915-12-21,708.000,,,
1915-12-22,708.000,,,
1915-12-23,708.000,,,
1915-12-24,708.000,,,
1915-12-25,708.000,,,
1915-12-26,708.000,,,
1915-12-27,708.000,,,
1915-12-28,708.000,,,
1915-12-29,708.000,,,
1915-12-30,708.000,,,
1915-12-31,708.000,,,
1916-01-01,736.000,,,
1916-01-02,736.000,,,
1916-01-03,736.000,,,
1916-01-04,736.000,,,
1916-01-05,736.000,,,
1916-01-06,736.000,,,
