year,all,ON,QC,flow,flow_ON,flow_QC,mainstem,mainstem_flow,WSC (federal),Provincial,Utility,Unrecorded
1950,78,38,40,59,27,32,14,5,17,40,14,7
1951,76,37,39,57,26,31,14,5,17,39,14,6
1952,76,37,39,57,26,31,14,5,17,40,14,5
1953,75,36,39,56,25,31,14,5,16,40,14,5
1954,75,34,41,55,23,32,15,6,15,41,14,5
1955,79,36,43,58,25,33,15,6,17,42,15,5
1956,79,36,43,58,25,33,15,6,17,42,15,5
1957,77,34,43,58,25,33,15,6,17,41,14,5
1958,71,29,42,52,20,32,15,6,17,40,13,1
1959,70,29,41,51,20,31,15,6,17,39,13,1
1960,71,30,41,53,22,31,15,7,17,39,13,2
1961,71,29,42,54,21,33,15,7,17,40,13,1
1962,79,30,49,58,22,36,16,8,18,45,14,2
1963,85,30,55,63,22,41,18,8,20,47,16,2
1964,88,30,58,64,22,42,19,8,21,49,16,2
1965,96,30,66,71,22,49,21,10,21,54,19,2
1966,105,31,74,74,23,51,21,10,22,62,19,2
1967,109,35,74,79,27,52,21,10,22,61,20,6
1968,109,37,72,81,30,51,20,10,24,59,19,7
1969,114,42,72,84,34,50,21,10,27,60,19,8
1970,119,44,75,89,36,53,21,10,29,59,20,11
1971,127,49,78,85,41,44,21,10,33,62,19,13
1972,137,55,82,85,43,42,21,9,35,66,19,17
1973,126,55,71,79,43,36,21,9,35,55,19,17
1974,133,56,77,87,45,42,21,10,36,60,20,17
1975,134,56,78,88,45,43,21,10,36,62,20,16
1976,134,59,75,87,48,39,21,10,37,61,20,16
1977,140,59,81,91,49,42,22,11,38,67,19,16
1978,138,60,78,92,52,40,21,11,39,66,17,16
1979,137,60,77,92,52,40,20,11,40,65,17,15
1980,136,60,76,93,52,41,20,11,42,63,18,13
1981,135,62,73,91,54,37,20,11,42,61,18,14
1982,138,66,72,94,58,36,20,11,43,60,18,17
1983,130,63,67,92,57,35,20,11,41,55,18,16
1984,127,60,67,89,54,35,20,11,43,55,18,11
1985,130,59,71,93,53,40,25,16,43,54,23,10
1986,126,57,69,91,51,40,25,16,41,52,23,10
1987,134,60,74,93,53,40,26,16,48,55,22,9
1988,132,60,72,89,51,38,27,16,50,55,21,6
1989,125,53,72,85,46,39,26,16,49,56,19,1
1990,127,55,72,86,47,39,26,16,51,56,19,1
1991,124,53,71,83,45,38,26,16,49,55,19,1
1992,123,53,70,82,45,37,26,16,50,54,19,0
1993,128,58,70,84,47,37,26,16,53,54,19,2
1994,127,58,69,84,48,36,25,16,54,52,19,2
1995,96,43,53,59,37,22,10,2,50,45,1,0
1996,89,36,53,53,31,22,9,2,43,45,1,0
1997,84,31,53,49,27,22,8,2,38,45,1,0
1998,77,31,46,44,25,19,8,2,38,38,1,0
1999,75,30,45,43,24,19,8,2,37,37,1,0
2000,71,29,42,42,23,19,5,2,34,37,0,0
2001,71,29,42,42,23,19,5,2,34,37,0,0
2002,70,29,41,41,24,17,5,2,34,36,0,0
2003,76,35,41,47,30,17,5,2,40,36,0,0
2004,76,34,42,48,29,19,5,2,39,37,0,0
2005,80,37,43,51,31,20,5,2,42,38,0,0
2006,81,39,42,52,32,20,5,2,44,37,0,0
2007,82,42,40,52,33,19,5,2,47,35,0,0
2008,87,45,42,54,36,18,5,2,50,37,0,0
2009,87,45,42,54,37,17,5,2,50,37,0,0
2010,90,46,44,54,36,18,6,2,52,38,0,0
2011,90,46,44,53,35,18,6,2,52,38,0,0
2012,91,46,45,56,35,21,6,2,50,41,0,0
2013,91,46,45,56,35,21,6,2,50,41,0,0
2014,88,46,42,56,35,21,6,2,50,38,0,0
2015,87,46,41,56,35,21,5,2,49,38,0,0
2016,87,46,41,56,35,21,5,2,49,38,0,0
2017,87,46,41,56,35,21,6,2,49,38,0,0
2018,90,49,41,56,35,21,7,2,52,38,0,0
2019,90,49,41,56,35,21,7,2,52,38,0,0
2020,86,45,41,56,35,21,6,2,48,38,0,0
2021,89,48,41,56,35,21,5,2,51,38,0,0
2022,88,47,41,56,35,21,5,2,50,38,0,0
2023,89,48,41,56,35,21,5,2,51,38,0,0
