date,flow_cms,flow_symbol,level_m,level_symbol
1942-04-01,963.000,,,
1942-04-02,985.000,,,
1942-04-03,1040.000,,,
1942-04-04,1080.000,,,
1942-04-05,1140.000,,,
1942-04-06,1200.000,,,
1942-04-07,1290.000,,,
1942-04-08,1420.000,,,
1942-04-09,1570.000,,,
1942-04-10,1650.000,,,
1942-04-11,1650.000,,,
1942-04-12,1650.000,,,
1942-04-13,1650.000,,,
1942-04-14,1620.000,,,
1942-04-15,1620.000,,,
1942-04-16,1670.000,,,
1942-04-17,1740.000,,,
1942-04-18,1960.000,,,
1942-04-19,2230.000,,,
1942-04-20,2430.000,,,
1942-04-21,2570.000,,,
1942-04-22,2670.000,,,
1942-04-23,2710.000,,,
1942-04-24,2720.000,,,
1942-04-25,2780.000,,,
1942-04-26,2830.000,,,
1942-04-27,2890.000,,,
1942-04-28,2890.000,,,
1942-04-29,2890.000,,,
1942-04-30,2830.000,,,
1942-05-01,2750.000,,,
1942-05-02,2640.000,,,
1942-05-03,2510.000,,,
1942-05-04,2360.000,,,
1942-05-05,2160.000,,,
1942-05-06,2030.000,,,
1942-05-07,1930.000,,,
1942-05-08,1830.000,,,
1942-05-09,1780.000,,,
1942-05-10,1680.000,,,
1942-05-11,1550.000,,,
1942-05-12,1420.000,,,
1942-05-13,1330.000,,,
1942-05-14,1260.000,,,
1942-05-15,1250.000,,,
1942-05-16,1230.000,,,
1942-05-17,1250.000,,,
1942-05-18,1300.000,,,
1942-05-19,1380.000,,,
1942-05-20,1460.000,,,
1942-05-21,1500.000,,,
1942-05-22,1540.000,,,
1942-05-23,1650.000,,,
1942-05-24,1830.000,,,
1942-05-25,2020.000,,,
1942-05-26,2170.000,,,
1942-05-27,2300.000,,,
1942-05-28,2320.000,,,
1942-05-29,2300.000,,,
1942-05-30,2260.000,,,
1942-05-31,2210.000,,,
1942-06-01,2120.000,,,
1942-06-02,2050.000,,,
1942-06-03,1980.000,,,
1942-06-04,1880.000,,,
1942-06-05,1810.000,,,
1942-06-06,1740.000,,,
1942-06-07,1690.000,,,
1942-06-08,1650.000,,,
1942-06-09,1630.000,,,
1942-06-10,1570.000,,,
1942-06-11,1530.000,,,
1942-06-12,1530.000,,,
1942-06-13,1530.000,,,
1942-06-14,1540.000,,,
1942-06-15,1540.000,,,
1942-06-16,1510.000,,,
1942-06-17,1480.000,,,
1942-06-18,1390.000,,,
1942-06-19,1320.000,,,
1942-06-20,1260.000,,,
1942-06-21,1170.000,,,
1942-06-22,1150.000,,,
1942-06-23,1140.000,,,
1942-06-24,1110.000,,,
1942-06-25,1090.000,,,
1942-06-26,1080.000,,,
1942-06-27,1060.000,,,
1942-06-28,988.000,,,
1942-06-29,1000.000,,,
1942-06-30,974.000,,,
1942-07-01,883.000,,,
1942-07-02,878.000,,,
1942-07-03,872.000,,,
1942-07-04,838.000,,,
1942-07-05,801.000,,,
1942-07-06,784.000,,,
1942-07-07,762.000,,,
1942-07-08,765.000,,,
1942-07-09,736.000,,,
1942-07-10,719.000,,,
1942-07-11,702.000,,,
1942-07-12,674.000,,,
1942-07-13,699.000,,,
1942-07-14,702.000,,,
1942-07-15,694.000,,,
1942-07-16,671.000,,,
1942-07-17,663.000,,,
1942-07-18,651.000,,,
1942-07-19,640.000,,,
1942-07-20,654.000,,,
1942-07-21,651.000,,,
1942-07-22,648.000,,,
1942-07-23,643.000,,,
1942-07-24,648.000,,,
1942-07-25,634.000,,,
1942-07-26,609.000,,,
1942-07-27,646.000,,,
1942-07-28,643.000,,,
1942-07-29,643.000,,,
1942-07-30,634.000,,,
1942-07-31,629.000,,,
1942-08-01,623.000,,,
1942-08-02,552.000,,,
1942-08-03,532.000,,,
1942-08-04,626.000,,,
1942-08-05,626.000,,,
1942-08-06,617.000,,,
1942-08-07,603.000,,,
1942-08-08,603.000,,,
1942-08-09,595.000,,,
1942-08-10,592.000,,,
1942-08-11,609.000,,,
1942-08-12,620.000,,,
1942-08-13,626.000,,,
1942-08-14,620.000,,,
1942-08-15,572.000,,,
1942-08-16,549.000,,,
1942-08-17,648.000,,,
1942-08-18,626.000,,,
1942-08-19,612.000,,,
1942-08-20,595.000,,,
1942-08-21,558.000,,,
1942-08-22,532.000,,,
1942-08-23,592.000,,,
1942-08-24,549.000,,,
1942-08-25,586.000,,,
1942-08-26,479.000,,,
1942-08-27,555.000,,,
1942-08-28,561.000,,,
1942-08-29,558.000,,,
1942-08-30,490.000,,,
1942-08-31,547.000,,,
1942-09-01,527.000,,,
1942-09-02,504.000,,,
